variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_2,col_path_3,col_path_4,col_path_5,data_type,col_path_1_values,col_path_2_values,col_path_3_values,col_path_4_values,col_path_5_values
activity_messages/events_interactions.json,"{'media': 'array', 'label_values': [{'label': 'string', 'timestamp_value': 'number'}], 'fbid': 'string'}",activity_messages,Missing,Missing,Missing,events_interactions.json,media,Missing,Missing,Missing,Missing,Missing,array,array,Missing,Missing,Missing,Missing
activity_messages/people_and_friends.json,"{'timestamp': 'number', 'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",activity_messages,Missing,Missing,Missing,people_and_friends.json,timestamp,Missing,Missing,Missing,Missing,Missing,number,number,Missing,Missing,Missing,Missing
activity_messages/milestone_notifications.json,"{'timestamp': 'number', 'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",activity_messages,Missing,Missing,Missing,milestone_notifications.json,timestamp,Missing,Missing,Missing,Missing,Missing,number,number,Missing,Missing,Missing,Missing
in-app_messages/your_in-app_messages_interactions.json,"{'timestamp': 'number', 'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",in-app_messages,Missing,Missing,Missing,your_in-app_messages_interactions.json,timestamp,Missing,Missing,Missing,Missing,Missing,number,number,Missing,Missing,Missing,Missing
location/device_location.json,"{'phone_number_location_v2': [{'spn': 'string', 'country_code': 'string'}]}",location,Missing,Missing,Missing,device_location.json,phone_number_location_v2,spn,Missing,Missing,Missing,Missing,string,"{'spn': 'string', 'country_code': 'string'}",string,Missing,Missing,Missing
location/device_location.json,"{'phone_number_location_v2': [{'spn': 'string', 'country_code': 'string'}]}",location,Missing,Missing,Missing,device_location.json,phone_number_location_v2,country_code,Missing,Missing,Missing,Missing,string,"{'spn': 'string', 'country_code': 'string'}",string,Missing,Missing,Missing
location/primary_location.json,"{'primary_location_v2': {'city_region_pairs': [['string']], 'zipcode': ['string']}}",location,Missing,Missing,Missing,primary_location.json,primary_location_v2,city_region_pairs,Missing,Missing,Missing,Missing,string,"{'city_region_pairs': [['string']], 'zipcode': ['string']}",['string'],Missing,Missing,Missing
location/primary_location.json,"{'primary_location_v2': {'city_region_pairs': [['string']], 'zipcode': ['string']}}",location,Missing,Missing,Missing,primary_location.json,primary_location_v2,zipcode,Missing,Missing,Missing,Missing,string,"{'city_region_pairs': [['string']], 'zipcode': ['string']}",string,Missing,Missing,Missing
location/primary_public_location.json,"{'primary_public_location_v2': {'city': 'string', 'region': 'string', 'country': 'string'}}",location,Missing,Missing,Missing,primary_public_location.json,primary_public_location_v2,city,Missing,Missing,Missing,Missing,string,"{'city': 'string', 'region': 'string', 'country': 'string'}",string,Missing,Missing,Missing
location/primary_public_location.json,"{'primary_public_location_v2': {'city': 'string', 'region': 'string', 'country': 'string'}}",location,Missing,Missing,Missing,primary_public_location.json,primary_public_location_v2,region,Missing,Missing,Missing,Missing,string,"{'city': 'string', 'region': 'string', 'country': 'string'}",string,Missing,Missing,Missing
location/primary_public_location.json,"{'primary_public_location_v2': {'city': 'string', 'region': 'string', 'country': 'string'}}",location,Missing,Missing,Missing,primary_public_location.json,primary_public_location_v2,country,Missing,Missing,Missing,Missing,string,"{'city': 'string', 'region': 'string', 'country': 'string'}",string,Missing,Missing,Missing
location/timezone.json,"{'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",location,Missing,Missing,Missing,timezone.json,media,Missing,Missing,Missing,Missing,Missing,array,array,Missing,Missing,Missing,Missing
location/your_privacy_jurisdiction.json,"{'media': 'array', 'label_values': [{'label': 'string', 'vec': [{'value': 'string'}]}], 'fbid': 'string'}",location,Missing,Missing,Missing,your_privacy_jurisdiction.json,media,Missing,Missing,Missing,Missing,Missing,array,array,Missing,Missing,Missing,Missing
other_logged_information/consents.json,"{'timestamp': 'number', 'media': 'array', 'label_values': [{'label': 'string'}], 'fbid': 'string'}",other_logged_information,Missing,Missing,Missing,consents.json,timestamp,Missing,Missing,Missing,Missing,Missing,number,number,Missing,Missing,Missing,Missing
other_logged_information/facebook_reels_usage_information.json,"{'media': 'array', 'label_values': [{'label': 'string', 'dict': [{'label': 'string', 'value': 'string'}]}], 'fbid': 'string'}",other_logged_information,Missing,Missing,Missing,facebook_reels_usage_information.json,media,Missing,Missing,Missing,Missing,Missing,array,array,Missing,Missing,Missing,Missing
other_logged_information/detected_hardware.json,"{'media': 'array', 'label_values': [{'label': 'string', 'timestamp_value': 'number'}], 'fbid': 'string'}",other_logged_information,Missing,Missing,Missing,detected_hardware.json,media,Missing,Missing,Missing,Missing,Missing,array,array,Missing,Missing,Missing,Missing
