variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_2,col_path_3,col_path_4,col_path_5,data_type,col_path_1_values,col_path_2_values,col_path_3_values,col_path_4_values,col_path_5_values
posts/album/0.json,"{'name': 'string', 'photos': [{'uri': 'string', 'creation_timestamp': 'number', 'media_metadata': {'photo_metadata': {'exif_data': [{'upload_ip': 'string'}]}}, 'title': 'string'}], 'cover_photo': {'uri': 'string', 'creation_timestamp': 'number', 'media_metadata': {'photo_metadata': {'exif_data': [{'upload_ip': 'string'}]}}, 'title': 'string'}, 'last_modified_timestamp': 'number', 'description': 'string'}",posts,album,Missing,Missing,0.json,name,Missing,Missing,Missing,Missing,Missing,string,string,Missing,Missing,Missing,Missing
posts/album/1.json,"{'name': 'string', 'photos': [{'uri': 'string', 'creation_timestamp': 'number', 'media_metadata': {'photo_metadata': {'exif_data': [{'upload_ip': 'string'}]}}, 'title': 'string', 'description': 'string'}], 'cover_photo': {'uri': 'string', 'creation_timestamp': 'number', 'media_metadata': {'photo_metadata': {'exif_data': [{'upload_ip': 'string', 'taken_timestamp': 'number'}]}}, 'title': 'string', 'description': 'string'}, 'last_modified_timestamp': 'number', 'description': 'string'}",posts,album,Missing,Missing,1.json,name,Missing,Missing,Missing,Missing,Missing,string,string,Missing,Missing,Missing,Missing
posts/album/2.json,"{'name': 'string', 'photos': [{'uri': 'string', 'creation_timestamp': 'number', 'title': 'string'}], 'cover_photo': {'uri': 'string', 'creation_timestamp': 'number', 'media_metadata': {'photo_metadata': {'exif_data': [{'upload_ip': 'string', 'taken_timestamp': 'number'}]}}, 'title': 'string'}, 'last_modified_timestamp': 'number', 'description': 'string'}",posts,album,Missing,Missing,2.json,name,Missing,Missing,Missing,Missing,Missing,string,string,Missing,Missing,Missing,Missing
posts/album/3.json,"{'name': 'string', 'photos': [{'uri': 'string', 'creation_timestamp': 'number', 'title': 'string', 'description': 'string'}], 'cover_photo': {'uri': 'string', 'creation_timestamp': 'number', 'title': 'string', 'description': 'string'}, 'last_modified_timestamp': 'number', 'description': 'string'}",posts,album,Missing,Missing,3.json,name,Missing,Missing,Missing,Missing,Missing,string,string,Missing,Missing,Missing,Missing
posts/your_uncategorized_photos.json,"{'other_photos_v2': [{'uri': 'string', 'creation_timestamp': 'number', 'description': 'string'}]}",posts,Missing,Missing,Missing,your_uncategorized_photos.json,other_photos_v2,uri,Missing,Missing,Missing,Missing,string,"{'uri': 'string', 'creation_timestamp': 'number', 'description': 'string'}",string,Missing,Missing,Missing
posts/your_uncategorized_photos.json,"{'other_photos_v2': [{'uri': 'string', 'creation_timestamp': 'number', 'description': 'string'}]}",posts,Missing,Missing,Missing,your_uncategorized_photos.json,other_photos_v2,creation_timestamp,Missing,Missing,Missing,Missing,number,"{'uri': 'string', 'creation_timestamp': 'number', 'description': 'string'}",number,Missing,Missing,Missing
posts/your_uncategorized_photos.json,"{'other_photos_v2': [{'uri': 'string', 'creation_timestamp': 'number', 'description': 'string'}]}",posts,Missing,Missing,Missing,your_uncategorized_photos.json,other_photos_v2,description,Missing,Missing,Missing,Missing,string,"{'uri': 'string', 'creation_timestamp': 'number', 'description': 'string'}",string,Missing,Missing,Missing
messages/inbox/leireeliandalba_1089618921147150/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'sticker': {'uri': 'string', 'ai_stickers': 'array'}, 'is_geoblocked_for_viewer': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array', 'joinable_mode': {'mode': 'number', 'link': 'string'}}",messages,inbox,leireeliandalba_1089618921147150,Missing,message_1.json,participants,name,Missing,Missing,Missing,Missing,string,{'name': 'string'},string,Missing,Missing,Missing
messages/inbox/hollyalbaandfacebookuser_1405947756108777/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array', 'joinable_mode': {'mode': 'number', 'link': 'string'}}",messages,inbox,hollyalbaandfacebookuser_1405947756108777,Missing,message_1.json,participants,name,Missing,Missing,Missing,Missing,string,{'name': 'string'},string,Missing,Missing,Missing
messages/inbox/aniolsaurinamaso_10155726805989544/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",messages,inbox,aniolsaurinamaso_10155726805989544,Missing,message_1.json,participants,name,Missing,Missing,Missing,Missing,string,{'name': 'string'},string,Missing,Missing,Missing
