variable,value,row_path,col_path_1,col_path_2,col_path_3,col_path_4,col_path_5,data_type,col_path_1_values,col_path_2_values,col_path_3_values,col_path_4_values
Ads and data,"{'Ad Interests': {'AdInterestCategories': 'string'}, 'Instant Form Ads Responses': {'ResponsesList': 'object'}, 'Off TikTok Activity': {'OffTikTokActivityDataList': 'object'}}",Ads and data,Ad Interests,AdInterestCategories,,,,string,{'AdInterestCategories': 'string'},string,,
Ads and data,"{'Ad Interests': {'AdInterestCategories': 'string'}, 'Instant Form Ads Responses': {'ResponsesList': 'object'}, 'Off TikTok Activity': {'OffTikTokActivityDataList': 'object'}}",Ads and data,Instant Form Ads Responses,ResponsesList,,,,object,{'ResponsesList': 'object'},object,,
Ads and data,"{'Ad Interests': {'AdInterestCategories': 'string'}, 'Instant Form Ads Responses': {'ResponsesList': 'object'}, 'Off TikTok Activity': {'OffTikTokActivityDataList': 'object'}}",Ads and data,Off TikTok Activity,OffTikTokActivityDataList,,,,object,{'OffTikTokActivityDataList': 'object'},object,,
App Settings,"{'Block List': {'App': 'number', 'BlockList': 'object'}, 'Settings': {'App': 'number', 'SettingsMap': {'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}}}",App Settings,Block List,App,,,,number,"{'App': 'number', 'BlockList': 'object'}",number,,
App Settings,"{'Block List': {'App': 'number', 'BlockList': 'object'}, 'Settings': {'App': 'number', 'SettingsMap': {'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}}}",App Settings,Block List,BlockList,,,,object,"{'App': 'number', 'BlockList': 'object'}",object,,
App Settings,"{'Block List': {'App': 'number', 'BlockList': 'object'}, 'Settings': {'App': 'number', 'SettingsMap': {'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}}}",App Settings,Settings,App,,,,number,"{'App': 'number', 'SettingsMap': {'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}}",number,,
App Settings,"{'Block List': {'App': 'number', 'BlockList': 'object'}, 'Settings': {'App': 'number', 'SettingsMap': {'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}}}",App Settings,Settings,SettingsMap,Allow DownLoad,,,string,"{'App': 'number', 'SettingsMap': {'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}}","{'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}",string,
App Settings,"{'Block List': {'App': 'number', 'BlockList': 'object'}, 'Settings': {'App': 'number', 'SettingsMap': {'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}}}",App Settings,Settings,SettingsMap,Allow Others to Find Me,,,string,"{'App': 'number', 'SettingsMap': {'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}}","{'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}",string,
App Settings,"{'Block List': {'App': 'number', 'BlockList': 'object'}, 'Settings': {'App': 'number', 'SettingsMap': {'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}}}",App Settings,Settings,SettingsMap,App Language,,,string,"{'App': 'number', 'SettingsMap': {'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}}","{'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}",string,
App Settings,"{'Block List': {'App': 'number', 'BlockList': 'object'}, 'Settings': {'App': 'number', 'SettingsMap': {'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}}}",App Settings,Settings,SettingsMap,Content Preferences,Keyword filters for videos in Following feed,,object,"{'App': 'number', 'SettingsMap': {'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}}","{'Allow DownLoad': 'string', 'Allow Others to Find Me': 'string', 'App Language': 'string', 'Content Preferences': {'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}, 'Family Content Preferences': {}, 'Filter Comments': 'string', 'Interests': 'string', 'Private Account': 'string', 'Push Notification': {'Desktop notification': 'string', 'New Comments on My Video': 'string', 'New Fans': 'string', 'New Likes on My Video': 'string'}, 'Suggest your account to Facebook friends': 'string', 'Suggest your account to contacts': 'string', 'Suggest your account to people who open or send links to you': 'string', 'Web Language': 'string', 'Who Can Duet With Me': 'string', 'Who Can Post Comments': 'string', 'Who Can Send Me Message': 'string', 'Who Can Stitch with your videos': 'string', 'Who Can View Videos I Liked': 'string'}","{'Keyword filters for videos in Following feed': 'object', 'Keyword filters for videos in For You feed': 'object', 'Video Languages Preferences': 'object'}",object
