level01 (js),level02 (items in each js),level03,level04,Title_en,Title_es,Title_nl,Title_ro,Title_lt,Status,Comment,es,nl,ro,lt
account-creation-ip,,,,,,,,,,,account-creation-ip,account-creation-ip,,Not available in LT
,accountId,,,,,,,,,,accountId,accountId,,
,userCreationIp,,,,,,,,,,userCreationIp,userCreationIp,,
account-label,,,,,,,,,,,account-label,account-label,,
,label,,,,,,,,,,,,,
,managedByScreenName,,,,,,,,,,,,,
account-suspension,,,,,,,,,,,account-suspension,account-suspension,,
,timeStamp,,,,,,,,,,,,,
,action,,,,,,,,,,,,,
account-timezone,,,,,,,,,,,account-timezone,account-timezone,,
,accountId,,,,,,,,,,,,,
,timeZone,,,,,,,,,,,,,
account,,,,,,,,,,,account,account,,
,email,,,,,,,,,,email,email,,
,createdVia,,,,,,,,,,createdVia,createdVia,,
,username,,,,,,,,,,username,username,,
,accountId,,,,,,,,,,accountId,accountId,,
,createdAt,,,,,,,,,,createdAt,createdAt,,
,accountDisplayName,,,,,,,,,,accountDisplayName,accountDisplayName,,
ad-engagements,,,,,,,,,,,ad-engagements,ad-engagements,,
,ad,,,,,,,,,,ad,ad,,
,deviceInfo,,,,,,,,,,deviceInfo,deviceInfo,,
,displayLocation,,,,,,,,,,displayLocation,displayLocation,,
,promotedTweetInfo,,,,,,,,,,promotedTweetInfo,promotedTweetInfo,,
,,tweetId,,,,,,,,,tweetId,tweetId,,
,,tweetText,,,,,,,,,tweetText,tweetText,,
,,urls,,,,,,,,,urls,urls,,
,,mediaUrls,,,,,,,,,mediaUrls,mediaUrls,,
,advertiserInfo,,,,,,,,,,advertiserInfo,advertiserInfo,,
,,advertiserName,,,,,,,,,advertiserName,advertiserName,,
,,screenName,,,,,,,,,screenName,screenName,,
,matchedTargetingCriteria,,,,,,,,,,matchedTargetingCriteria,matchedTargetingCriteria,,
,,targetingType,,,,,,,,,targetingType,targetingType,,
,,targetingValue,,,,,,,,,targetingValue,targetingValue,,
,impressionTime,,,,,,,,,,impressionTime,impressionTime,,
,engagementAttributes,,,,,,,,,,engagementAttributes,engagementAttributes,,
,,engagementTime,,,,,,,,,engagementTime,engagementTime,,
,,engagementType,,,,,,,,,engagementType,engagementType,,
ad-impressions,,,,,,,,,,,ad-impressions,ad-impressions,,
,ad,,,,,,,,,,,,,
,deviceInfo,,,,,,,,,,,,,
,displayLocation,,,,,,,,,,,,,
,promotedTweetInfo,,,,,,,,,,,,,
,advertiserInfo,,,,,,,,,,,,,
,matchedTargetingCriteria,,,,,,,,,,,,,
,impressionTime,,,,,,,,,,,,,
,engagementAttributes,,,,,,,,,,,,,
ad-mobile-conversions-attributed,,,,,,,,,,,ad-mobile-conversions-attributed,ad-mobile-conversions-attributed,,
,ad,,,,,,,,,,,,,
,attributedConversionType,,,,,,,,,,,,,
,mobilePlatform,,,,,,,,,,,,,
,conversionEvent,,,,,,,,,,,,,
,applicationName,,,,,,,,,,,,,
,conversionValue,,,,,,,,,,,,,
,conversionTime,,,,,,,,,,,,,
,additionalParameters,,,,,,,,,,,,,
ad-mobile-conversions-unattributed,,,,,,,,,,,ad-mobile-conversions-unattributed,ad-mobile-conversions-unattributed,,
,ad,,,,,,,,,,,,,
,mobilePlatform,,,,,,,,,,,,,
,conversionEvent,,,,,,,,,,,,,
,applicationName,,,,,,,,,,,,,
,conversionValue,,,,,,,,,,,,,
,conversionTime,,,,,,,,,,,,,
,additionalParameters,,,,,,,,,,,,,
ad-online-conversions-attributed,,,,,,,,,,,ad-online-conversions-attributed,ad-online-conversions-attributed,,
,ad,,,,,,,,,,,,,
,attributedConversionType,,,,,,,,,,,,,
,eventType,,,,,,,,,,,,,
,conversionPlatform,,,,,,,,,,,,,
,advertiserInfo,,,,,,,,,,,,,
,conversionValue,,,,,,,,,,,,,
,conversionTime,,,,,,,,,,,,,
,additionalParameters,,,,,,,,,,,,,
ad-online-conversions-unattributed,,,,,,,,,,,ad-online-conversions-unattributed,ad-online-conversions-unattributed,,
,ad,,,,,,,,,,,,,
,eventType,,,,,,,,,,,,,
,conversionPlatform,,,,,,,,,,,,,
,conversionUrl,,,,,,,,,,,,,
,advertiserInfo,,,,,,,,,,,,,
,conversionValue,,,,,,,,,,,,,
,conversionTime,,,,,,,,,,,,,
,additionalParameters,,,,,,,,,,,,,
ads-revenue-sharing,,,,,,,,,,,ads-revenue-sharing,ads-revenue-sharing,,
,status,,,,,,,,,,,,,
,enrolledAt,,,,,,,,,,,,,
,paidAt,,,,,,,,,,,,,
,payoutAmountUsd,,,,,,,,,,,,,
ageinfo,,,,,,,,,,,ageinfo,ageinfo,,
,ageInfo,,,,,,,,,,ageInfo,ageInfo,,
app,,,,,,,,,,,app,app,,
,appId,,,,,,,,,,,,,
,appNames,,,,,,,,,,,,,
article-metadata,,,,,,,,,,,article-metadata,article-metadata,,
,authorId,,,,,,,,,,,,,
,createdatMs,,,,,,,,,,,,,
,updatedAtMs,,,,,,,,,,,,,
,visibility,,,,,,,,,,,,,
,tweetId,,,,,,,,,,,,,
,firstPublishedAtMs,,,,,,,,,,,,,
,lifecycleState,,,,,,,,,,,,,
article,,,,,,,,,,,article,article,,
,id,,,,,,,,,,,,,
,title,,,,,,,,,,,,,
,content,,,,,,,,,,,,,
,coverMedia,,,,,,,,,,,,,
,media,,,,,,,,,,,,,
audio-video-calls-in-dm-recipient-sessions,,,,,,,,,,,audio-video-calls-in-dm-recipient-sessions,audio-video-calls-in-dm-recipient-sessions,,
audio-video-calls-in-dm,,,,,,,,,,,audio-video-calls-in-dm,audio-video-calls-in-dm,,
block,,,,,,,,,,,block,block,,
,accountId,,,,,,,,,,,,,
,userLink,,,,,,,,,,,,,
branch-links,,,,,,,,,,,branch-links,branch-links,,
,timestamp,,,,,,,,,,,,,
,landingPage,,,,,,,,,,,,,
,externalReferrerUrl,,,,,,,,,,,,,
,channel,,,,,,,,,,,,,
,feature,,,,,,,,,,,,,
,campaign,,,,,,,,,,,,,
catalog-item,,,,,,,,,,,catalog-item,catalog-item,,
,catalogProduct,,,,,,,,,,,,,
,productKey,,,,,,,,,,,,,
,productid,,,,,,,,,,,,,
,catalogId,,,,,,,,,,,,,
,lastUpdatedAt,,,,,,,,,,,,,
,createdFromDataSource,,,,,,,,,,,,,
,updatedFromDataSource,,,,,,,,,,,,,
,title,,,,,,,,,,,,,
,description,,,,,,,,,,,,,
,productUrl,,,,,,,,,,,,,
,price,,,,,,,,,,,,,
,coverMedia,,,,,,,,,,,,,
,additionalMedia,,,,,,,,,,,,,
,mobileUrl,,,,,,,,,,,,,
,salePrice,,,,,,,,,,,,,
,saleStartTime,,,,,,,,,,,,,
,saleEndTime,,,,,,,,,,,,,
,googleProductCategory,,,,,,,,,,,,,
,customProductType,,,,,,,,,,,,,
,brand,,,,,,,,,,,,,
,catalogProductGroup,,,,,,,,,,,,,
,productGroupKey,,,,,,,,,,,,,
,productGroupId,,,,,,,,,,,,,
,products,,,,,,,,,,,,,
commerce-catalog,,,,,,,,,,,commerce-catalog,commerce-catalog,,
,catalogId,,,,,,,,,,,,,
,catalogName,,,,,,,,,,,,,
,catalogType,,,,,,,,,,,,,
,authorUserId,,,,,,,,,,,,,
,lastUpdatedAt,,,,,,,,,,,,,
community_tweet_media (folder),,,,,,,,,,,community_tweet_media,community_tweet_media,,
community-note-rating,,,,,,,,,,,community-note-rating,community-note-rating,,
,noteId,,,,,,,,,,,,,
,userId,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
,agree,,,,,,,,,,,,,
,helpful,,,,,,,,,,,,,
,helpfulTags,,,,,,,,,,,,,
,nothelpfulTags,,,,,,,,,,,,,
,helpfulnessLevel,,,,,,,,,,,,,
,userAlias,,,,,,,,,,,,,
community-note-tombstone,,,,,,,,,,,community-note-tombstone,community-note-tombstone,,
,noteId,,,,,,,,,,,,,
,userId,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
,deletedAt,,,,,,,,,,,,,
community-note,,,,,,,,,,,community-note,community-note,,
,noteId,,,,,,,,,,,,,
,userId,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
,tweetId,,,,,,,,,,,,,
,summary,,,,,,,,,,,,,
,classification,,,,,,,,,,,,,
,believable,,,,,,,,,,,,,
,trustworthySources,,,,,,,,,,,,,
,misleadingTags,,,,,,,,,,,,,
,notMisleadingTags,,,,,,,,,,,,,
,harmful,,,,,,,,,,,,,
,validation,,,,,,,,,,,,,
,userAlias,,,,,,,,,,,,,
community-tweet,,,,,,,,,,,community-tweet,community-tweet,,
connected-application,,,,,,,,,,,connected-application,connected-application,,
,name,,,,,,,,,,name,name,,
,description,,,,,,,,,,description,description,,
,approvedAt,,,,,,,,,,approvedAt,approvedAt,,
,permissions,,,,,,,,,,permissions,permissions,,
,id,,,,,,,,,,id,id,,
contact,,,,,,,,,,,contact,contact,,
,id,,,,,,,,,,,,,
,emails,,,,,,,,,,,,,
,phoneNumbers,,,,,,,,,,,,,
deleted_tweets_media (folder),,,,,,,,,,,deleted_tweets_media,deleted_tweets_media,,
deleted-note-tweet,,,,,,,,,,,deleted-note-tweet,deleted-note-tweet,,
,noteTweetId,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
,lifecycle,,,,,,,,,,,,,
,updatedAt,,,,,,,,,,,,,
,core,,,,,,,,,,,,,
