id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,duplicate_flag,keepID
Activity:Favorite Videos:App,App,"[""Activity"", ""Favorite Videos"", ""App""]",,"[""Activity"", ""Favorite Videos"", ""App""]",static,number,,No,
Activity:Follower List:App,App,"[""Activity"", ""Follower List"", ""App""]",,"[""Activity"", ""Follower List"", ""App""]",static,number,,No,
Activity:Follower List:IsFastLane,IsFastLane,"[""Activity"", ""Follower List"", ""IsFastLane""]",,"[""Activity"", ""Follower List"", ""IsFastLane""]",static,boolean,,No,
Activity:Following List:App,App,"[""Activity"", ""Following List"", ""App""]",,"[""Activity"", ""Following List"", ""App""]",static,number,,No,
Activity:Following List:IsFastLane,IsFastLane,"[""Activity"", ""Following List"", ""IsFastLane""]",,"[""Activity"", ""Following List"", ""IsFastLane""]",static,boolean,,No,
Activity:Like List:App,App,"[""Activity"", ""Like List"", ""App""]",,"[""Activity"", ""Like List"", ""App""]",static,number,,No,
Ads and data:Ad Interests:AdInterestCategories,AdInterestCategories,"[""Ads and data"", ""Ad Interests"", ""AdInterestCategories""]",,"[""Ads and data"", ""Ad Interests"", ""AdInterestCategories""]",static,string,,No,Ads and data:Ad Interests:AdInterestCategories
App Settings:Block:App,App,"[""App Settings"", ""Block"", ""App""]",,"[""App Settings"", ""Block"", ""App""]",static,number,,No,
App Settings:Settings:App,App,"[""App Settings"", ""Settings"", ""App""]",,"[""App Settings"", ""Settings"", ""App""]",static,number,,No,
Comment:Comments:App,App,"[""Comment"", ""Comments"", ""App""]",,"[""Comment"", ""Comments"", ""App""]",static,number,,No,
Profile:AIMoji:CreateDate,CreateDate,"[""Profile"", ""AIMoji"", ""CreateDate""]",,"[""Profile"", ""AIMoji"", ""CreateDate""]",static,string,,No,
Profile:Auto Fill:PhoneNumber,PhoneNumber,"[""Profile"", ""Auto Fill"", ""PhoneNumber""]",,"[""Profile"", ""Auto Fill"", ""PhoneNumber""]",static,string,,No,
Profile:Auto Fill:Email,Email,"[""Profile"", ""Auto Fill"", ""Email""]",,"[""Profile"", ""Auto Fill"", ""Email""]",static,string,,No,
Profile:Auto Fill:FirstName,FirstName,"[""Profile"", ""Auto Fill"", ""FirstName""]",,"[""Profile"", ""Auto Fill"", ""FirstName""]",static,string,,No,
