id,variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,col_path_4,col_path_4_LIST,col_path_5,col_path_5_LIST,col_path_6,col_path_6_LIST,col_path_7,col_path_7_LIST,col_path_8,col_path_8_LIST,data_type,path,list_path,subfield_path,column_name,var_type,name,duplicate_flag
your_activity_off_meta_technologies_settings:timestamp,apps_and_websites_off_of_facebook/your_activity_off_meta_technologies_settings.json,"{'timestamp': 'number', 'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",apps_and_websites_off_of_facebook,,,,your_activity_off_meta_technologies_settings.json,timestamp,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,number,"('timestamp',)",,"[""timestamp""]",timestamp,skip,your_activity_off_meta_technologies_settings,No
your_activity_off_meta_technologies_settings:media,apps_and_websites_off_of_facebook/your_activity_off_meta_technologies_settings.json,"{'timestamp': 'number', 'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",apps_and_websites_off_of_facebook,,,,your_activity_off_meta_technologies_settings.json,media,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,array,"('media',)",,"[""media""]",media,skip,your_activity_off_meta_technologies_settings,Yes
your_activity_off_meta_technologies_settings:label_values:label,apps_and_websites_off_of_facebook/your_activity_off_meta_technologies_settings.json,"{'timestamp': 'number', 'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",apps_and_websites_off_of_facebook,,,,your_activity_off_meta_technologies_settings.json,label_values,label,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('label_values', 'label')",,"[""label_values"", ""label""]",label,static,your_activity_off_meta_technologies_settings,No
your_activity_off_meta_technologies_settings:label_values:value,apps_and_websites_off_of_facebook/your_activity_off_meta_technologies_settings.json,"{'timestamp': 'number', 'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",apps_and_websites_off_of_facebook,,,,your_activity_off_meta_technologies_settings.json,label_values,value,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('label_values', 'value')",,"[""label_values"", ""value""]",value,static,your_activity_off_meta_technologies_settings,No
your_activity_off_meta_technologies_settings:fbid,apps_and_websites_off_of_facebook/your_activity_off_meta_technologies_settings.json,"{'timestamp': 'number', 'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",apps_and_websites_off_of_facebook,,,,your_activity_off_meta_technologies_settings.json,fbid,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('fbid',)",,"[""fbid""]",fbid,skip,your_activity_off_meta_technologies_settings,No
your_activity_off_meta_technologies:off_facebook_activity_v2:name,apps_and_websites_off_of_facebook/your_activity_off_meta_technologies.json,"{'off_facebook_activity_v2': [{'name': 'string', 'events': [{'id': 'number', 'type': 'string', 'timestamp': 'number'}]}]}",apps_and_websites_off_of_facebook,,,,your_activity_off_meta_technologies.json,off_facebook_activity_v2,name,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('off_facebook_activity_v2', 'name')",,"[""off_facebook_activity_v2"", ""name""]",name,static,your_activity_off_meta_technologies,No
your_activity_off_meta_technologies:off_facebook_activity_v2:id,apps_and_websites_off_of_facebook/your_activity_off_meta_technologies.json,"{'off_facebook_activity_v2': [{'name': 'string', 'events': [{'id': 'number', 'type': 'string', 'timestamp': 'number'}]}]}",apps_and_websites_off_of_facebook,,,,your_activity_off_meta_technologies.json,off_facebook_activity_v2,events,LIST,id,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,number,"('off_facebook_activity_v2', 'events', 'id')","[""off_facebook_activity_v2"", ""events""]","""id""",id,list,your_activity_off_meta_technologies,No
your_activity_off_meta_technologies:off_facebook_activity_v2:type,apps_and_websites_off_of_facebook/your_activity_off_meta_technologies.json,"{'off_facebook_activity_v2': [{'name': 'string', 'events': [{'id': 'number', 'type': 'string', 'timestamp': 'number'}]}]}",apps_and_websites_off_of_facebook,,,,your_activity_off_meta_technologies.json,off_facebook_activity_v2,events,LIST,type,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('off_facebook_activity_v2', 'events', 'type')","[""off_facebook_activity_v2"", ""events""]","""type""",type,list,your_activity_off_meta_technologies,No
your_activity_off_meta_technologies:off_facebook_activity_v2:timestamp,apps_and_websites_off_of_facebook/your_activity_off_meta_technologies.json,"{'off_facebook_activity_v2': [{'name': 'string', 'events': [{'id': 'number', 'type': 'string', 'timestamp': 'number'}]}]}",apps_and_websites_off_of_facebook,,,,your_activity_off_meta_technologies.json,off_facebook_activity_v2,events,LIST,timestamp,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,number,"('off_facebook_activity_v2', 'events', 'timestamp')","[""off_facebook_activity_v2"", ""events""]","""timestamp""",timestamp,list,your_activity_off_meta_technologies,No
permissions_you_have_granted_to_apps:media,apps_and_websites_off_of_facebook/permissions_you_have_granted_to_apps.json,"{'media': 'array', 'label_values': [{'label': 'string', 'vec': [{'value': 'string'}]}], 'fbid': 'string'}",apps_and_websites_off_of_facebook,,,,permissions_you_have_granted_to_apps.json,media,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,array,"('media',)",,"[""media""]",media,skip,permissions_you_have_granted_to_apps,Yes
permissions_you_have_granted_to_apps:label_values:label,apps_and_websites_off_of_facebook/permissions_you_have_granted_to_apps.json,"{'media': 'array', 'label_values': [{'label': 'string', 'vec': [{'value': 'string'}]}], 'fbid': 'string'}",apps_and_websites_off_of_facebook,,,,permissions_you_have_granted_to_apps.json,label_values,label,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('label_values', 'label')",,"[""label_values"", ""label""]",label,static,permissions_you_have_granted_to_apps,No
permissions_you_have_granted_to_apps:label_values:value,apps_and_websites_off_of_facebook/permissions_you_have_granted_to_apps.json,"{'media': 'array', 'label_values': [{'label': 'string', 'vec': [{'value': 'string'}]}], 'fbid': 'string'}",apps_and_websites_off_of_facebook,,,,permissions_you_have_granted_to_apps.json,label_values,vec,LIST,value,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('label_values', 'vec', 'value')","[""label_values"", ""vec""]","""value""",value,list,permissions_you_have_granted_to_apps,No
permissions_you_have_granted_to_apps:fbid,apps_and_websites_off_of_facebook/permissions_you_have_granted_to_apps.json,"{'media': 'array', 'label_values': [{'label': 'string', 'vec': [{'value': 'string'}]}], 'fbid': 'string'}",apps_and_websites_off_of_facebook,,,,permissions_you_have_granted_to_apps.json,fbid,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('fbid',)",,"[""fbid""]",fbid,skip,permissions_you_have_granted_to_apps,No
connected_apps_and_websites:installed_apps_v2:name,apps_and_websites_off_of_facebook/connected_apps_and_websites.json,"{'installed_apps_v2': [{'name': 'string', 'added_timestamp': 'number', 'user_app_scoped_id': 'number', 'category': 'string', 'removed_timestamp': 'number'}]}",apps_and_websites_off_of_facebook,,,,connected_apps_and_websites.json,installed_apps_v2,name,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('installed_apps_v2', 'name')",,"[""installed_apps_v2"", ""name""]",name,static,connected_apps_and_websites,No
