variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,col_path_4,col_path_4_LIST,col_path_5,col_path_5_LIST,data_type,col_path_1_values,col_path_2_values,col_path_3_values,col_path_4_values,col_path_5_values
security_and_login_information/two-factor_authentication.json,"{'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",security_and_login_information,Missing,Missing,Missing,two-factor_authentication.json,media,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array,array,Missing,Missing,Missing,Missing
security_and_login_information/two-factor_authentication.json,"{'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",security_and_login_information,Missing,Missing,Missing,two-factor_authentication.json,label_values,ent_field_name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,"{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}",string,Missing,Missing,Missing
security_and_login_information/two-factor_authentication.json,"{'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",security_and_login_information,Missing,Missing,Missing,two-factor_authentication.json,label_values,label,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,"{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}",string,Missing,Missing,Missing
security_and_login_information/two-factor_authentication.json,"{'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",security_and_login_information,Missing,Missing,Missing,two-factor_authentication.json,label_values,value,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,"{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}",string,Missing,Missing,Missing
security_and_login_information/two-factor_authentication.json,"{'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",security_and_login_information,Missing,Missing,Missing,two-factor_authentication.json,fbid,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,string,Missing,Missing,Missing,Missing
security_and_login_information/two-factor_authentication.json,"{'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",security_and_login_information,Missing,Missing,Missing,two-factor_authentication.json,ent_name,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,string,Missing,Missing,Missing,Missing
security_and_login_information/browser_cookies.json,"{'datr_stats_v2': {'rTtF********************': ['number'], 'u1Mm********************': ['number']}}",security_and_login_information,Missing,Missing,Missing,browser_cookies.json,datr_stats_v2,rTtF********************,NO LIST,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,number,"{'rTtF********************': ['number'], 'u1Mm********************': ['number']}",number,Missing,Missing,Missing
security_and_login_information/browser_cookies.json,"{'datr_stats_v2': {'rTtF********************': ['number'], 'u1Mm********************': ['number']}}",security_and_login_information,Missing,Missing,Missing,browser_cookies.json,datr_stats_v2,u1Mm********************,NO LIST,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,number,"{'rTtF********************': ['number'], 'u1Mm********************': ['number']}",number,Missing,Missing,Missing
apps_and_websites_off_of_facebook/your_activity_off_meta_technologies_settings.json,"{'timestamp': 'number', 'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'dict': ['array']}], 'fbid': 'string', 'ent_name': 'string'}",apps_and_websites_off_of_facebook,Missing,Missing,Missing,your_activity_off_meta_technologies_settings.json,timestamp,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,number,number,Missing,Missing,Missing,Missing
apps_and_websites_off_of_facebook/your_activity_off_meta_technologies_settings.json,"{'timestamp': 'number', 'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'dict': ['array']}], 'fbid': 'string', 'ent_name': 'string'}",apps_and_websites_off_of_facebook,Missing,Missing,Missing,your_activity_off_meta_technologies_settings.json,media,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array,array,Missing,Missing,Missing,Missing
