variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,col_path_4,col_path_4_LIST,col_path_5,col_path_5_LIST,data_type,col_path_1_values,col_path_2_values,col_path_3_values,col_path_4_values,col_path_5_values
comments_and_reactions/comments.json,"{'comments_v2': [{'timestamp': 'number', 'data': [{'comment': {'timestamp': 'number', 'comment': 'string', 'author': 'string'}}], 'title': 'string'}]}",comments_and_reactions,Missing,Missing,Missing,comments.json,comments_v2,timestamp,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,number,"{'timestamp': 'number', 'data': [{'comment': {'timestamp': 'number', 'comment': 'string', 'author': 'string'}}], 'title': 'string'}",number,Missing,Missing,Missing
comments_and_reactions/comments.json,"{'comments_v2': [{'timestamp': 'number', 'data': [{'comment': {'timestamp': 'number', 'comment': 'string', 'author': 'string'}}], 'title': 'string'}]}",comments_and_reactions,Missing,Missing,Missing,comments.json,comments_v2,data,LIST,comment,LIST,timestamp,NO LIST,Missing,NO LIST,Missing,MISSING,number,"{'timestamp': 'number', 'data': [{'comment': {'timestamp': 'number', 'comment': 'string', 'author': 'string'}}], 'title': 'string'}","{'comment': {'timestamp': 'number', 'comment': 'string', 'author': 'string'}}","{'timestamp': 'number', 'comment': 'string', 'author': 'string'}",number,Missing
comments_and_reactions/comments.json,"{'comments_v2': [{'timestamp': 'number', 'data': [{'comment': {'timestamp': 'number', 'comment': 'string', 'author': 'string'}}], 'title': 'string'}]}",comments_and_reactions,Missing,Missing,Missing,comments.json,comments_v2,data,LIST,comment,LIST,comment,NO LIST,Missing,NO LIST,Missing,MISSING,string,"{'timestamp': 'number', 'data': [{'comment': {'timestamp': 'number', 'comment': 'string', 'author': 'string'}}], 'title': 'string'}","{'comment': {'timestamp': 'number', 'comment': 'string', 'author': 'string'}}","{'timestamp': 'number', 'comment': 'string', 'author': 'string'}",string,Missing
comments_and_reactions/comments.json,"{'comments_v2': [{'timestamp': 'number', 'data': [{'comment': {'timestamp': 'number', 'comment': 'string', 'author': 'string'}}], 'title': 'string'}]}",comments_and_reactions,Missing,Missing,Missing,comments.json,comments_v2,data,LIST,comment,LIST,author,NO LIST,Missing,NO LIST,Missing,MISSING,string,"{'timestamp': 'number', 'data': [{'comment': {'timestamp': 'number', 'comment': 'string', 'author': 'string'}}], 'title': 'string'}","{'comment': {'timestamp': 'number', 'comment': 'string', 'author': 'string'}}","{'timestamp': 'number', 'comment': 'string', 'author': 'string'}",string,Missing
comments_and_reactions/comments.json,"{'comments_v2': [{'timestamp': 'number', 'data': [{'comment': {'timestamp': 'number', 'comment': 'string', 'author': 'string'}}], 'title': 'string'}]}",comments_and_reactions,Missing,Missing,Missing,comments.json,comments_v2,title,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,"{'timestamp': 'number', 'data': [{'comment': {'timestamp': 'number', 'comment': 'string', 'author': 'string'}}], 'title': 'string'}",string,Missing,Missing,Missing
comments_and_reactions/likes_and_reactions.json,"{'timestamp': 'number', 'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",comments_and_reactions,Missing,Missing,Missing,likes_and_reactions.json,timestamp,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,number,number,Missing,Missing,Missing,Missing
comments_and_reactions/likes_and_reactions.json,"{'timestamp': 'number', 'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",comments_and_reactions,Missing,Missing,Missing,likes_and_reactions.json,media,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array,array,Missing,Missing,Missing,Missing
comments_and_reactions/likes_and_reactions.json,"{'timestamp': 'number', 'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",comments_and_reactions,Missing,Missing,Missing,likes_and_reactions.json,label_values,ent_field_name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,"{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}",string,Missing,Missing,Missing
comments_and_reactions/likes_and_reactions.json,"{'timestamp': 'number', 'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",comments_and_reactions,Missing,Missing,Missing,likes_and_reactions.json,label_values,label,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,"{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}",string,Missing,Missing,Missing
comments_and_reactions/likes_and_reactions.json,"{'timestamp': 'number', 'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",comments_and_reactions,Missing,Missing,Missing,likes_and_reactions.json,label_values,value,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,"{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}",string,Missing,Missing,Missing
comments_and_reactions/likes_and_reactions.json,"{'timestamp': 'number', 'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",comments_and_reactions,Missing,Missing,Missing,likes_and_reactions.json,fbid,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,string,Missing,Missing,Missing,Missing
comments_and_reactions/likes_and_reactions.json,"{'timestamp': 'number', 'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",comments_and_reactions,Missing,Missing,Missing,likes_and_reactions.json,ent_name,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,string,Missing,Missing,Missing,Missing
comments_and_reactions/likes_and_reactions_1.json,"{'timestamp': 'number', 'data': [{'reaction': {'reaction': 'string', 'actor': 'string'}}], 'title': 'string'}",comments_and_reactions,Missing,Missing,Missing,likes_and_reactions_1.json,timestamp,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,number,number,Missing,Missing,Missing,Missing
comments_and_reactions/likes_and_reactions_1.json,"{'timestamp': 'number', 'data': [{'reaction': {'reaction': 'string', 'actor': 'string'}}], 'title': 'string'}",comments_and_reactions,Missing,Missing,Missing,likes_and_reactions_1.json,data,reaction,LIST,reaction,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,string,"{'reaction': {'reaction': 'string', 'actor': 'string'}}","{'reaction': 'string', 'actor': 'string'}",string,Missing,Missing
comments_and_reactions/likes_and_reactions_1.json,"{'timestamp': 'number', 'data': [{'reaction': {'reaction': 'string', 'actor': 'string'}}], 'title': 'string'}",comments_and_reactions,Missing,Missing,Missing,likes_and_reactions_1.json,data,reaction,LIST,actor,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,string,"{'reaction': {'reaction': 'string', 'actor': 'string'}}","{'reaction': 'string', 'actor': 'string'}",string,Missing,Missing
comments_and_reactions/likes_and_reactions_1.json,"{'timestamp': 'number', 'data': [{'reaction': {'reaction': 'string', 'actor': 'string'}}], 'title': 'string'}",comments_and_reactions,Missing,Missing,Missing,likes_and_reactions_1.json,title,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,string,Missing,Missing,Missing,Missing
events/your_event_invitation_links.json,"{'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",events,Missing,Missing,Missing,your_event_invitation_links.json,media,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array,array,Missing,Missing,Missing,Missing
events/your_event_invitation_links.json,"{'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",events,Missing,Missing,Missing,your_event_invitation_links.json,label_values,ent_field_name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,"{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}",string,Missing,Missing,Missing
events/your_event_invitation_links.json,"{'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",events,Missing,Missing,Missing,your_event_invitation_links.json,label_values,label,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,"{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}",string,Missing,Missing,Missing
events/your_event_invitation_links.json,"{'media': ['array'], 'label_values': [{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}], 'fbid': 'string', 'ent_name': 'string'}",events,Missing,Missing,Missing,your_event_invitation_links.json,label_values,value,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,"{'ent_field_name': 'string', 'label': 'string', 'value': 'string'}",string,Missing,Missing,Missing
