json_name,column_name,path,list_path,subfield_path,var_type,data_type,file_path
message_1.json,title,['title'],,['title'],static,string,your_facebook_activity/messages/inbox/username/message_1.json
message_1.json,is_still_participant,['is_still_participant'],,['is_still_participant'],static,boolean,your_facebook_activity/messages/inbox/username/message_1.json
message_1.json,thread_path,['thread_path'],,['thread_path'],static,string,your_facebook_activity/messages/inbox/username/message_1.json
message_1.json,magic_words,['magic_words'],,['magic_words'],static,array,your_facebook_activity/messages/inbox/username/message_1.json
message_1.json,title,['title'],,['title'],static,string,your_facebook_activity/messages/e2ee_cutover/username/message_1.json
message_1.json,is_still_participant,['is_still_participant'],,['is_still_participant'],static,boolean,your_facebook_activity/messages/e2ee_cutover/username/message_1.json
message_1.json,thread_path,['thread_path'],,['thread_path'],static,string,your_facebook_activity/messages/e2ee_cutover/username/message_1.json
message_1.json,magic_words,['magic_words'],,['magic_words'],static,array,your_facebook_activity/messages/e2ee_cutover/username/message_1.json
message_1.json,title,['title'],,['title'],static,string,your_facebook_activity/messages/archived_threads/username/message_1.json
message_1.json,is_still_participant,['is_still_participant'],,['is_still_participant'],static,boolean,your_facebook_activity/messages/archived_threads/username/message_1.json
message_1.json,thread_path,['thread_path'],,['thread_path'],static,string,your_facebook_activity/messages/archived_threads/username/message_1.json
message_1.json,magic_words,['magic_words'],,['magic_words'],static,array,your_facebook_activity/messages/archived_threads/username/message_1.json
message_1.json,title,['title'],,['title'],static,string,your_facebook_activity/messages/filtered_threads/username/message_1.json
message_1.json,is_still_participant,['is_still_participant'],,['is_still_participant'],static,boolean,your_facebook_activity/messages/filtered_threads/username/message_1.json
message_1.json,thread_path,['thread_path'],,['thread_path'],static,string,your_facebook_activity/messages/filtered_threads/username/message_1.json
message_1.json,magic_words,['magic_words'],,['magic_words'],static,array,your_facebook_activity/messages/filtered_threads/username/message_1.json
message_1.json,title,['title'],,['title'],static,string,your_facebook_activity/messages/message_requests/username/message_1.json
message_1.json,is_still_participant,['is_still_participant'],,['is_still_participant'],static,boolean,your_facebook_activity/messages/message_requests/username/message_1.json
message_1.json,thread_path,['thread_path'],,['thread_path'],static,string,your_facebook_activity/messages/message_requests/username/message_1.json
message_1.json,magic_words,['magic_words'],,['magic_words'],static,array,your_facebook_activity/messages/message_requests/username/message_1.json
message_1.json,is_pending,['is_pending'],,['is_pending'],static,boolean,your_facebook_activity/messages/message_requests/username/message_1.json
chat_invites_received.json,title,['title'],,['title'],static,string,your_facebook_activity/messages/chat_invites_received.json
chat_invites_received.json,timestamp,['timestamp'],,['timestamp'],static,number,your_facebook_activity/messages/chat_invites_received.json
chat_invites_received.json,media,['media'],,['media'],static,array,your_facebook_activity/messages/chat_invites_received.json
chat_invites_received.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/messages/chat_invites_received.json
community_chats_settings.json,media,['media'],,['media'],static,array,your_facebook_activity/messages/community_chats_settings.json
community_chats_settings.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/messages/community_chats_settings.json
messenger_ui_settings.json,media,['media'],,['media'],static,array,your_facebook_activity/messages/messenger_ui_settings.json
messenger_ui_settings.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/messages/messenger_ui_settings.json
messenger_active_status_platform_settings.json,media,['media'],,['media'],static,array,your_facebook_activity/messages/messenger_active_status_platform_settings.json
messenger_active_status_platform_settings.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/messages/messenger_active_status_platform_settings.json
your_messenger_app_install_information.json,media,['media'],,['media'],static,array,your_facebook_activity/messages/your_messenger_app_install_information.json
your_messenger_app_install_information.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/messages/your_messenger_app_install_information.json
messenger_active_status_settings.json,media,['media'],,['media'],static,array,your_facebook_activity/messages/messenger_active_status_settings.json
messenger_active_status_settings.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/messages/messenger_active_status_settings.json
messaging_settings.json,media,['media'],,['media'],static,array,your_facebook_activity/messages/messaging_settings.json
messaging_settings.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/messages/messaging_settings.json
your_cross-app_messaging_settings.json,media,['media'],,['media'],static,array,your_facebook_activity/messages/your_cross-app_messaging_settings.json
your_cross-app_messaging_settings.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/messages/your_cross-app_messaging_settings.json
0.json,name,['name'],,['name'],static,string,your_facebook_activity/posts/album/0.json
0.json,last_modified_timestamp,['last_modified_timestamp'],,['last_modified_timestamp'],static,number,your_facebook_activity/posts/album/0.json
0.json,description,['description'],,['description'],static,string,your_facebook_activity/posts/album/0.json
1.json,name,['name'],,['name'],static,string,your_facebook_activity/posts/album/1.json
1.json,last_modified_timestamp,['last_modified_timestamp'],,['last_modified_timestamp'],static,number,your_facebook_activity/posts/album/1.json
1.json,description,['description'],,['description'],static,string,your_facebook_activity/posts/album/1.json
2.json,name,['name'],,['name'],static,string,your_facebook_activity/posts/album/2.json
2.json,last_modified_timestamp,['last_modified_timestamp'],,['last_modified_timestamp'],static,number,your_facebook_activity/posts/album/2.json
2.json,description,['description'],,['description'],static,string,your_facebook_activity/posts/album/2.json
3.json,name,['name'],,['name'],static,string,your_facebook_activity/posts/album/3.json
3.json,last_modified_timestamp,['last_modified_timestamp'],,['last_modified_timestamp'],static,number,your_facebook_activity/posts/album/3.json
3.json,description,['description'],,['description'],static,string,your_facebook_activity/posts/album/3.json
4.json,name,['name'],,['name'],static,string,your_facebook_activity/posts/album/4.json
4.json,last_modified_timestamp,['last_modified_timestamp'],,['last_modified_timestamp'],static,number,your_facebook_activity/posts/album/4.json
4.json,description,['description'],,['description'],static,string,your_facebook_activity/posts/album/4.json
bookmark_and_app_settings.json,timestamp,['timestamp'],,['timestamp'],static,number,your_facebook_activity/facebook_gaming/bookmark_and_app_settings.json
bookmark_and_app_settings.json,media,['media'],,['media'],static,array,your_facebook_activity/facebook_gaming/bookmark_and_app_settings.json
bookmark_and_app_settings.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/facebook_gaming/bookmark_and_app_settings.json
gaming_tab_notifications.json,media,['media'],,['media'],static,array,your_facebook_activity/facebook_gaming/gaming_tab_notifications.json
gaming_tab_notifications.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/facebook_gaming/gaming_tab_notifications.json
your_instant_games_tournament_information.json,media,['media'],,['media'],static,array,your_facebook_activity/facebook_gaming/your_instant_games_tournament_information.json
your_instant_games_tournament_information.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/facebook_gaming/your_instant_games_tournament_information.json
your_transaction_survey_information.json,media,['media'],,['media'],static,array,your_facebook_activity/facebook_marketplace/your_transaction_survey_information.json
your_transaction_survey_information.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/facebook_marketplace/your_transaction_survey_information.json
how_active_we_think_you_are_on_marketplace.json,media,['media'],,['media'],static,array,your_facebook_activity/facebook_marketplace/how_active_we_think_you_are_on_marketplace.json
how_active_we_think_you_are_on_marketplace.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/facebook_marketplace/how_active_we_think_you_are_on_marketplace.json
settings.json,timestamp,['timestamp'],,['timestamp'],static,number,your_facebook_activity/facebook_marketplace/settings.json
settings.json,media,['media'],,['media'],static,array,your_facebook_activity/facebook_marketplace/settings.json
settings.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/facebook_marketplace/settings.json
your_notification_status.json,media,['media'],,['media'],static,array,your_facebook_activity/facebook_marketplace/your_notification_status.json
your_notification_status.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/facebook_marketplace/your_notification_status.json
your_marketplace_assistant_settings.json,media,['media'],,['media'],static,array,your_facebook_activity/facebook_marketplace/your_marketplace_assistant_settings.json
your_marketplace_assistant_settings.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/facebook_marketplace/your_marketplace_assistant_settings.json
your_marketplace_listing_history.json,media,['media'],,['media'],static,array,your_facebook_activity/facebook_marketplace/your_marketplace_listing_history.json
your_marketplace_listing_history.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/facebook_marketplace/your_marketplace_listing_history.json
fundraiser_posts_you_likely_viewed.json,media,['media'],,['media'],static,array,your_facebook_activity/fundraisers/fundraiser_posts_you_likely_viewed.json
fundraiser_posts_you_likely_viewed.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/fundraisers/fundraiser_posts_you_likely_viewed.json
your_fundraiser_donations_information.json,media,['media'],,['media'],static,array,your_facebook_activity/fundraisers/your_fundraiser_donations_information.json
your_fundraiser_donations_information.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/fundraisers/your_fundraiser_donations_information.json
6452840174763366.json,thread_name,['thread_name'],,['thread_name'],static,string,your_facebook_activity/groups/your_group_messages/6452840174763366.json
6452840174763366.json,messages,['messages'],,['messages'],static,array,your_facebook_activity/groups/your_group_messages/6452840174763366.json
6477893372272082.json,thread_name,['thread_name'],,['thread_name'],static,string,your_facebook_activity/groups/your_group_messages/6477893372272082.json
6477893372272082.json,messages,['messages'],,['messages'],static,array,your_facebook_activity/groups/your_group_messages/6477893372272082.json
6798433430245173.json,thread_name,['thread_name'],,['thread_name'],static,string,your_facebook_activity/groups/your_group_messages/6798433430245173.json
6798433430245173.json,messages,['messages'],,['messages'],static,array,your_facebook_activity/groups/your_group_messages/6798433430245173.json
group_invites_you've_received.json,timestamp,['timestamp'],,['timestamp'],static,number,your_facebook_activity/groups/group_invites_you've_received.json
group_invites_you've_received.json,media,['media'],,['media'],static,array,your_facebook_activity/groups/group_invites_you've_received.json
group_invites_you've_received.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/groups/group_invites_you've_received.json
your_settings_for_groups_tab.json,media,['media'],,['media'],static,array,your_facebook_activity/groups/your_settings_for_groups_tab.json
your_settings_for_groups_tab.json,fbid,['fbid'],,['fbid'],static,string,your_facebook_activity/groups/your_settings_for_groups_tab.json
