variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_2,col_path_3,col_path_4,col_path_5,data_type,col_path_1_values,col_path_2_values,col_path_3_values,col_path_4_values,col_path_5_values
your_instagram_activity/saved/saved_posts.json,"{'saved_saved_media': [{'title': 'string', 'string_map_data': {'Saved on': {'href': 'string', 'timestamp': 'number'}}}]}",your_instagram_activity,saved,Missing,Missing,saved_posts.json,saved_saved_media,title,Missing,Missing,Missing,Missing,string,"{'title': 'string', 'string_map_data': {'Saved on': {'href': 'string', 'timestamp': 'number'}}}",string,Missing,Missing,Missing
your_instagram_activity/saved/saved_posts.json,"{'saved_saved_media': [{'title': 'string', 'string_map_data': {'Saved on': {'href': 'string', 'timestamp': 'number'}}}]}",your_instagram_activity,saved,Missing,Missing,saved_posts.json,saved_saved_media,string_map_data,Saved on,href,Missing,Missing,string,"{'title': 'string', 'string_map_data': {'Saved on': {'href': 'string', 'timestamp': 'number'}}}","{'Saved on': {'href': 'string', 'timestamp': 'number'}}","{'href': 'string', 'timestamp': 'number'}",string,Missing
your_instagram_activity/saved/saved_posts.json,"{'saved_saved_media': [{'title': 'string', 'string_map_data': {'Saved on': {'href': 'string', 'timestamp': 'number'}}}]}",your_instagram_activity,saved,Missing,Missing,saved_posts.json,saved_saved_media,string_map_data,Saved on,timestamp,Missing,Missing,number,"{'title': 'string', 'string_map_data': {'Saved on': {'href': 'string', 'timestamp': 'number'}}}","{'Saved on': {'href': 'string', 'timestamp': 'number'}}","{'href': 'string', 'timestamp': 'number'}",number,Missing
your_instagram_activity/likes/liked_posts.json,"{'likes_media_likes': [{'title': 'string', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}]}",your_instagram_activity,likes,Missing,Missing,liked_posts.json,likes_media_likes,title,Missing,Missing,Missing,Missing,string,"{'title': 'string', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}",string,Missing,Missing,Missing
your_instagram_activity/likes/liked_posts.json,"{'likes_media_likes': [{'title': 'string', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}]}",your_instagram_activity,likes,Missing,Missing,liked_posts.json,likes_media_likes,string_list_data,href,Missing,Missing,Missing,string,"{'title': 'string', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}","{'href': 'string', 'value': 'string', 'timestamp': 'number'}",string,Missing,Missing
your_instagram_activity/likes/liked_posts.json,"{'likes_media_likes': [{'title': 'string', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}]}",your_instagram_activity,likes,Missing,Missing,liked_posts.json,likes_media_likes,string_list_data,value,Missing,Missing,Missing,string,"{'title': 'string', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}","{'href': 'string', 'value': 'string', 'timestamp': 'number'}",string,Missing,Missing
your_instagram_activity/likes/liked_posts.json,"{'likes_media_likes': [{'title': 'string', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}]}",your_instagram_activity,likes,Missing,Missing,liked_posts.json,likes_media_likes,string_list_data,timestamp,Missing,Missing,Missing,number,"{'title': 'string', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}","{'href': 'string', 'value': 'string', 'timestamp': 'number'}",number,Missing,Missing
your_instagram_activity/subscriptions/show_exclusive_story_promo_setting.json,"{'subscriptions_show_story_teaser_setting': [{'title': 'string', 'media_map_data': {}, 'string_map_data': {'Exclusive Story Promo Setting': {'href': 'string', 'value': 'string', 'timestamp': 'number'}}}]}",your_instagram_activity,subscriptions,Missing,Missing,show_exclusive_story_promo_setting.json,subscriptions_show_story_teaser_setting,title,Missing,Missing,Missing,Missing,string,"{'title': 'string', 'media_map_data': {}, 'string_map_data': {'Exclusive Story Promo Setting': {'href': 'string', 'value': 'string', 'timestamp': 'number'}}}",string,Missing,Missing,Missing
your_instagram_activity/subscriptions/show_exclusive_story_promo_setting.json,"{'subscriptions_show_story_teaser_setting': [{'title': 'string', 'media_map_data': {}, 'string_map_data': {'Exclusive Story Promo Setting': {'href': 'string', 'value': 'string', 'timestamp': 'number'}}}]}",your_instagram_activity,subscriptions,Missing,Missing,show_exclusive_story_promo_setting.json,subscriptions_show_story_teaser_setting,media_map_data,Missing,Missing,Missing,Missing,,"{'title': 'string', 'media_map_data': {}, 'string_map_data': {'Exclusive Story Promo Setting': {'href': 'string', 'value': 'string', 'timestamp': 'number'}}}",{},Missing,Missing,Missing
your_instagram_activity/subscriptions/show_exclusive_story_promo_setting.json,"{'subscriptions_show_story_teaser_setting': [{'title': 'string', 'media_map_data': {}, 'string_map_data': {'Exclusive Story Promo Setting': {'href': 'string', 'value': 'string', 'timestamp': 'number'}}}]}",your_instagram_activity,subscriptions,Missing,Missing,show_exclusive_story_promo_setting.json,subscriptions_show_story_teaser_setting,string_map_data,Exclusive Story Promo Setting,href,Missing,Missing,string,"{'title': 'string', 'media_map_data': {}, 'string_map_data': {'Exclusive Story Promo Setting': {'href': 'string', 'value': 'string', 'timestamp': 'number'}}}","{'Exclusive Story Promo Setting': {'href': 'string', 'value': 'string', 'timestamp': 'number'}}","{'href': 'string', 'value': 'string', 'timestamp': 'number'}",string,Missing
your_instagram_activity/subscriptions/show_exclusive_story_promo_setting.json,"{'subscriptions_show_story_teaser_setting': [{'title': 'string', 'media_map_data': {}, 'string_map_data': {'Exclusive Story Promo Setting': {'href': 'string', 'value': 'string', 'timestamp': 'number'}}}]}",your_instagram_activity,subscriptions,Missing,Missing,show_exclusive_story_promo_setting.json,subscriptions_show_story_teaser_setting,string_map_data,Exclusive Story Promo Setting,value,Missing,Missing,string,"{'title': 'string', 'media_map_data': {}, 'string_map_data': {'Exclusive Story Promo Setting': {'href': 'string', 'value': 'string', 'timestamp': 'number'}}}","{'Exclusive Story Promo Setting': {'href': 'string', 'value': 'string', 'timestamp': 'number'}}","{'href': 'string', 'value': 'string', 'timestamp': 'number'}",string,Missing
