variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_2,col_path_3,col_path_4,col_path_5,data_type,col_path_1_values,col_path_2_values,col_path_3_values,col_path_4_values,col_path_5_values
facebook_accounts_center/your_account_password_information.json,"{'media': 'array', 'label_values': [{'label': 'string', 'timestamp_value': 'number'}], 'fbid': 'string'}",facebook_accounts_center,Missing,Missing,Missing,your_account_password_information.json,media,Missing,Missing,Missing,Missing,Missing,array,array,Missing,Missing,Missing,Missing
other_personal_information/notifications_about_new_users_joining_facebook.json,"{'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",other_personal_information,Missing,Missing,Missing,notifications_about_new_users_joining_facebook.json,media,Missing,Missing,Missing,Missing,Missing,array,array,Missing,Missing,Missing,Missing
other_personal_information/your_media_permissions.json,"{'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",other_personal_information,Missing,Missing,Missing,your_media_permissions.json,media,Missing,Missing,Missing,Missing,Missing,array,array,Missing,Missing,Missing,Missing
other_personal_information/emails_we_sent_you.json,"{'title': 'string', 'timestamp': 'number', 'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",other_personal_information,Missing,Missing,Missing,emails_we_sent_you.json,title,Missing,Missing,Missing,Missing,Missing,string,string,Missing,Missing,Missing,Missing
profile_information/contacts_sync_settings.json,"{'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",profile_information,Missing,Missing,Missing,contacts_sync_settings.json,media,Missing,Missing,Missing,Missing,Missing,array,array,Missing,Missing,Missing,Missing
profile_information/contacts_uploaded_before_2021.json,"{'media': 'array', 'label_values': [{'label': 'string', 'vec': [{'dict': [{'label': 'string', 'value': 'string'}]}]}], 'fbid': 'string'}",profile_information,Missing,Missing,Missing,contacts_uploaded_before_2021.json,media,Missing,Missing,Missing,Missing,Missing,array,array,Missing,Missing,Missing,Missing
profile_information/predicted_languages.json,"{'timestamp': 'number', 'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",profile_information,Missing,Missing,Missing,predicted_languages.json,timestamp,Missing,Missing,Missing,Missing,Missing,number,number,Missing,Missing,Missing,Missing
profile_information/the_ways_we_can_send_you_notifications.json,"{'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",profile_information,Missing,Missing,Missing,the_ways_we_can_send_you_notifications.json,media,Missing,Missing,Missing,Missing,Missing,array,array,Missing,Missing,Missing,Missing
profile_information/your_devices.json,"{'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",profile_information,Missing,Missing,Missing,your_devices.json,media,Missing,Missing,Missing,Missing,Missing,array,array,Missing,Missing,Missing,Missing
profile_information/profile_update_history.json,"{'profile_updates_v2': [{'timestamp': 'number', 'attachments': [{'data': [{'media': {'uri': 'string', 'creation_timestamp': 'number', 'media_metadata': {'photo_metadata': {'exif_data': [{'upload_ip': 'string'}]}}, 'title': 'string'}}]}], 'title': 'string'}]}",profile_information,Missing,Missing,Missing,profile_update_history.json,profile_updates_v2,timestamp,Missing,Missing,Missing,Missing,number,"{'timestamp': 'number', 'attachments': [{'data': [{'media': {'uri': 'string', 'creation_timestamp': 'number', 'media_metadata': {'photo_metadata': {'exif_data': [{'upload_ip': 'string'}]}}, 'title': 'string'}}]}], 'title': 'string'}",number,Missing,Missing,Missing
