id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,duplicate_flag
Favorite Videos:App,App,"['Favorite Videos', 'App']",,"[""Favorite Videos"", ""App""]",static,number,,No
Follower List:App,App,"['Follower List', 'App']",,"[""Follower List"", ""App""]",static,number,,No
Follower List:IsFastLane,IsFastLane,"['Follower List', 'IsFastLane']",,"[""Follower List"", ""IsFastLane""]",static,boolean,,No
Following List:App,App,"['Following List', 'App']",,"[""Following List"", ""App""]",static,number,,No
Following List:IsFastLane,IsFastLane,"['Following List', 'IsFastLane']",,"[""Following List"", ""IsFastLane""]",static,boolean,,No
Like List:App,App,"['Like List', 'App']",,"[""Like List"", ""App""]",static,number,,No
Ad Interests:AdInterestCategories,AdInterestCategories,"['Ad Interests', 'AdInterestCategories']",,"[""Ad Interests"", ""AdInterestCategories""]",static,string,,No
Block:App,App,"['Block', 'App']",,"[""Block"", ""App""]",static,number,,No
Settings:App,App,"['Settings', 'App']",,"[""Settings"", ""App""]",static,number,,No
Comments:App,App,"['Comments', 'App']",,"[""Comments"", ""App""]",static,number,,No
AIMoji:CreateDate,CreateDate,"['AIMoji', 'CreateDate']",,"[""AIMoji"", ""CreateDate""]",static,string,,No
Auto Fill:PhoneNumber,PhoneNumber,"['Auto Fill', 'PhoneNumber']",,"[""Auto Fill"", ""PhoneNumber""]",static,string,,No
Auto Fill:Email,Email,"['Auto Fill', 'Email']",,"[""Auto Fill"", ""Email""]",static,string,,No
Auto Fill:FirstName,FirstName,"['Auto Fill', 'FirstName']",,"[""Auto Fill"", ""FirstName""]",static,string,,No
Auto Fill:LastName,LastName,"['Auto Fill', 'LastName']",,"[""Auto Fill"", ""LastName""]",static,string,,No
Auto Fill:Address,Address,"['Auto Fill', 'Address']",,"[""Auto Fill"", ""Address""]",static,string,,No
Auto Fill:ZipCode,ZipCode,"['Auto Fill', 'ZipCode']",,"[""Auto Fill"", ""ZipCode""]",static,string,,No
Auto Fill:Unit,Unit,"['Auto Fill', 'Unit']",,"[""Auto Fill"", ""Unit""]",static,string,,No
Auto Fill:City,City,"['Auto Fill', 'City']",,"[""Auto Fill"", ""City""]",static,string,,No
Auto Fill:State,State,"['Auto Fill', 'State']",,"[""Auto Fill"", ""State""]",static,string,,No
Auto Fill:Country,Country,"['Auto Fill', 'Country']",,"[""Auto Fill"", ""Country""]",static,string,,No
Profile Information:App,App,"['Profile Information', 'App']",,"[""Profile Information"", ""App""]",static,number,,No
Watch Live Settings:MostRecentModificationTimeInApp,MostRecentModificationTimeInApp,"['Watch Live Settings', 'MostRecentModificationTimeInApp']",,"[""Watch Live Settings"", ""MostRecentModificationTimeInApp""]",static,string,,No
Watch Live Settings:MostRecentModificationTimeInWeb,MostRecentModificationTimeInWeb,"['Watch Live Settings', 'MostRecentModificationTimeInWeb']",,"[""Watch Live Settings"", ""MostRecentModificationTimeInWeb""]",static,string,,No
