id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,file_path,duplicate_flag
Ads and data:Ad Interests:AdInterestCategories,AdInterestCategories,"[""Ads and data"", ""Ad Interests"", ""AdInterestCategories""]",nan,"[""Ads and data"", ""Ad Interests"", ""AdInterestCategories""]",static,string,,,No
App Settings:Block List:App,App,"[""App Settings"", ""Block List"", ""App""]",nan,"[""App Settings"", ""Block List"", ""App""]",static,number,,,No
App Settings:Settings:App,App,"[""App Settings"", ""Settings"", ""App""]",nan,"[""App Settings"", ""Settings"", ""App""]",static,number,,,No
Comment:Comments:App,App,"[""Comment"", ""Comments"", ""App""]",nan,"[""Comment"", ""Comments"", ""App""]",static,number,,,No
Profile:AI-Moji:CreateDate,CreateDate,"[""Profile"", ""AI-Moji"", ""CreateDate""]",nan,"[""Profile"", ""AI-Moji"", ""CreateDate""]",static,string,,,No
Profile:Autofill:PhoneNumber,PhoneNumber,"[""Profile"", ""Autofill"", ""PhoneNumber""]",nan,"[""Profile"", ""Autofill"", ""PhoneNumber""]",static,string,,,No
Profile:Autofill:Email,Email,"[""Profile"", ""Autofill"", ""Email""]",nan,"[""Profile"", ""Autofill"", ""Email""]",static,string,,,No
Profile:Autofill:FirstName,FirstName,"[""Profile"", ""Autofill"", ""FirstName""]",nan,"[""Profile"", ""Autofill"", ""FirstName""]",static,string,,,No
Profile:Autofill:LastName,LastName,"[""Profile"", ""Autofill"", ""LastName""]",nan,"[""Profile"", ""Autofill"", ""LastName""]",static,string,,,No
Profile:Autofill:Address,Address,"[""Profile"", ""Autofill"", ""Address""]",nan,"[""Profile"", ""Autofill"", ""Address""]",static,string,,,No
Profile:Autofill:ZipCode,ZipCode,"[""Profile"", ""Autofill"", ""ZipCode""]",nan,"[""Profile"", ""Autofill"", ""ZipCode""]",static,string,,,No
Profile:Autofill:Unit,Unit,"[""Profile"", ""Autofill"", ""Unit""]",nan,"[""Profile"", ""Autofill"", ""Unit""]",static,string,,,No
Profile:Autofill:City,City,"[""Profile"", ""Autofill"", ""City""]",nan,"[""Profile"", ""Autofill"", ""City""]",static,string,,,No
Profile:Autofill:State,State,"[""Profile"", ""Autofill"", ""State""]",nan,"[""Profile"", ""Autofill"", ""State""]",static,string,,,No
Profile:Autofill:Country,Country,"[""Profile"", ""Autofill"", ""Country""]",nan,"[""Profile"", ""Autofill"", ""Country""]",static,string,,,No
Profile:Profile Info:App,App,"[""Profile"", ""Profile Info"", ""App""]",nan,"[""Profile"", ""Profile Info"", ""App""]",static,number,,,No
Tiktok Live:Watch Live Settings:MostRecentModificationTimeInApp,MostRecentModificationTimeInApp,"[""Tiktok Live"", ""Watch Live Settings"", ""MostRecentModificationTimeInApp""]",nan,"[""Tiktok Live"", ""Watch Live Settings"", ""MostRecentModificationTimeInApp""]",static,string,,,No
Tiktok Live:Watch Live Settings:MostRecentModificationTimeInWeb,MostRecentModificationTimeInWeb,"[""Tiktok Live"", ""Watch Live Settings"", ""MostRecentModificationTimeInWeb""]",nan,"[""Tiktok Live"", ""Watch Live Settings"", ""MostRecentModificationTimeInWeb""]",static,string,,,No
