column_name,path,list_path,subfield_path,var_type,data_type
AdInterestCategories,"['Ads and data', 'Ad Interests', 'AdInterestCategories']",,"['Ads and data', 'Ad Interests', 'AdInterestCategories']",skip,string
ResponsesList,"['Ads and data', 'Instant Form Ads Responses', 'ResponsesList']",,"['Ads and data', 'Instant Form Ads Responses', 'ResponsesList']",skip,object
OffTikTokActivityDataList,"['Ads and data', 'Off TikTok Activity', 'OffTikTokActivityDataList']",,"['Ads and data', 'Off TikTok Activity', 'OffTikTokActivityDataList']",skip,object
App,"['App Settings', 'Block List', 'App']",,"['App Settings', 'Block List', 'App']",skip,number
BlockList,"['App Settings', 'Block List', 'BlockList']",,"['App Settings', 'Block List', 'BlockList']",skip,object
App,"['App Settings', 'Settings', 'App']",,"['App Settings', 'Settings', 'App']",skip,number
App,"['Comment', 'Comments', 'App']",,"['Comment', 'Comments', 'App']",skip,number
CommentsList,"['Comment', 'Comments', 'CommentsList']",,"['Comment', 'Comments', 'CommentsList']",skip,object
TransactionsList,"['Income Plus Wallet Transactions', 'Transaction History', 'TransactionsList']",,"['Income Plus Wallet Transactions', 'Transaction History', 'TransactionsList']",skip,object
ReviewsList,"['Location Review', 'Location Reviews', 'ReviewsList']",,"['Location Review', 'Location Reviews', 'ReviewsList']",skip,object
VideoList,"['Post', 'Posts', 'VideoList']",,"['Post', 'Posts', 'VideoList']",skip,object
PostList,"['Post', 'Recently Deleted Posts', 'PostList']",,"['Post', 'Recently Deleted Posts', 'PostList']",skip,object
CreateDate,"['Profile', 'AI-Moji', 'CreateDate']",,"['Profile', 'AI-Moji', 'CreateDate']",skip,string
AIMojiList,"['Profile', 'AI-Moji', 'AIMojiList']",,"['Profile', 'AI-Moji', 'AIMojiList']",skip,object
PhoneNumber,"['Profile', 'Autofill', 'PhoneNumber']",,"['Profile', 'Autofill', 'PhoneNumber']",skip,string
Email,"['Profile', 'Autofill', 'Email']",,"['Profile', 'Autofill', 'Email']",skip,string
FirstName,"['Profile', 'Autofill', 'FirstName']",,"['Profile', 'Autofill', 'FirstName']",skip,string
LastName,"['Profile', 'Autofill', 'LastName']",,"['Profile', 'Autofill', 'LastName']",skip,string
Address,"['Profile', 'Autofill', 'Address']",,"['Profile', 'Autofill', 'Address']",skip,string
ZipCode,"['Profile', 'Autofill', 'ZipCode']",,"['Profile', 'Autofill', 'ZipCode']",skip,string
Unit,"['Profile', 'Autofill', 'Unit']",,"['Profile', 'Autofill', 'Unit']",skip,string
City,"['Profile', 'Autofill', 'City']",,"['Profile', 'Autofill', 'City']",skip,string
State,"['Profile', 'Autofill', 'State']",,"['Profile', 'Autofill', 'State']",skip,string
Country,"['Profile', 'Autofill', 'Country']",,"['Profile', 'Autofill', 'Country']",skip,string
App,"['Profile', 'Profile Info', 'App']",,"['Profile', 'Profile Info', 'App']",skip,number
CommunicationHistories,"['TikTok Shop', 'Communication With Shops', 'CommunicationHistories']",,"['TikTok Shop', 'Communication With Shops', 'CommunicationHistories']",skip,object
PayCard,"['TikTok Shop', 'Current Payment Information', 'PayCard']",,"['TikTok Shop', 'Current Payment Information', 'PayCard']",skip,object
CustomerSupportHistories,"['TikTok Shop', 'Customer Support History', 'CustomerSupportHistories']",,"['TikTok Shop', 'Customer Support History', 'CustomerSupportHistories']",skip,object
OrderDisputeHistories,"['TikTok Shop', 'Order Dispute History', 'OrderDisputeHistories']",,"['TikTok Shop', 'Order Dispute History', 'OrderDisputeHistories']",skip,object
OrderHistories,"['TikTok Shop', 'Order History', 'OrderHistories']",,"['TikTok Shop', 'Order History', 'OrderHistories']",skip,object
ProductBrowsingHistories,"['TikTok Shop', 'Product Browsing History', 'ProductBrowsingHistories']",,"['TikTok Shop', 'Product Browsing History', 'ProductBrowsingHistories']",skip,object
ProductReviewHistories,"['TikTok Shop', 'Product Reviews', 'ProductReviewHistories']",,"['TikTok Shop', 'Product Reviews', 'ProductReviewHistories']",skip,object
ReturnAndRefundHistories,"['TikTok Shop', 'Returns and Refunds History', 'ReturnAndRefundHistories']",,"['TikTok Shop', 'Returns and Refunds History', 'ReturnAndRefundHistories']",skip,object
SavedAddress,"['TikTok Shop', 'Saved Address Information', 'SavedAddress']",,"['TikTok Shop', 'Saved Address Information', 'SavedAddress']",skip,object
ShoppingCart,"['TikTok Shop', 'Shopping Cart List', 'ShoppingCart']",,"['TikTok Shop', 'Shopping Cart List', 'ShoppingCart']",skip,object
Vouchers,"['TikTok Shop', 'Vouchers', 'Vouchers']",,"['TikTok Shop', 'Vouchers', 'Vouchers']",skip,object
GoLiveList,"['Tiktok Live', 'Go Live History', 'GoLiveList']",,"['Tiktok Live', 'Go Live History', 'GoLiveList']",skip,object
MostRecentModificationTimeInApp,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInApp']",,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInApp']",skip,string
MostRecentModificationTimeInWeb,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInWeb']",,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInWeb']",skip,string
FavoriteEffectsList,"['Your Activity', 'Favorite Effects', 'FavoriteEffectsList']",,"['Your Activity', 'Favorite Effects', 'FavoriteEffectsList']",skip,object
FavoriteHashtagList,"['Your Activity', 'Favorite Hashtags', 'FavoriteHashtagList']",,"['Your Activity', 'Favorite Hashtags', 'FavoriteHashtagList']",skip,object
FavoriteSoundList,"['Your Activity', 'Favorite Sounds', 'FavoriteSoundList']",,"['Your Activity', 'Favorite Sounds', 'FavoriteSoundList']",skip,object
App,"['Your Activity', 'Favorite Videos', 'App']",,"['Your Activity', 'Favorite Videos', 'App']",skip,number
FavoriteVideoList,"['Your Activity', 'Favorite Videos', 'FavoriteVideoList']",,"['Your Activity', 'Favorite Videos', 'FavoriteVideoList']",skip,object
App,"['Your Activity', 'Follower', 'App']",,"['Your Activity', 'Follower', 'App']",skip,number
IsFastLane,"['Your Activity', 'Follower', 'IsFastLane']",,"['Your Activity', 'Follower', 'IsFastLane']",skip,boolean
FansList,"['Your Activity', 'Follower', 'FansList']",,"['Your Activity', 'Follower', 'FansList']",skip,object
App,"['Your Activity', 'Following', 'App']",,"['Your Activity', 'Following', 'App']",skip,number
IsFastLane,"['Your Activity', 'Following', 'IsFastLane']",,"['Your Activity', 'Following', 'IsFastLane']",skip,boolean
Following,"['Your Activity', 'Following', 'Following']",,"['Your Activity', 'Following', 'Following']",skip,object
HashtagList,"['Your Activity', 'Hashtag', 'HashtagList']",,"['Your Activity', 'Hashtag', 'HashtagList']",skip,object
App,"['Your Activity', 'Like List', 'App']",,"['Your Activity', 'Like List', 'App']",skip,number
ItemFavoriteList,"['Your Activity', 'Like List', 'ItemFavoriteList']",,"['Your Activity', 'Like List', 'ItemFavoriteList']",skip,object
LoginHistoryList,"['Your Activity', 'Login History', 'LoginHistoryList']",,"['Your Activity', 'Login History', 'LoginHistoryList']",skip,object
ShareHistoryList,"['Your Activity', 'Share History', 'ShareHistoryList']",,"['Your Activity', 'Share History', 'ShareHistoryList']",skip,object
Allow DownLoad,"['App Settings', 'Settings', 'SettingsMap', 'Allow DownLoad']",,"['App Settings', 'Settings', 'SettingsMap', 'Allow DownLoad']",skip,string
Allow Others to Find Me,"['App Settings', 'Settings', 'SettingsMap', 'Allow Others to Find Me']",,"['App Settings', 'Settings', 'SettingsMap', 'Allow Others to Find Me']",skip,string
App Language,"['App Settings', 'Settings', 'SettingsMap', 'App Language']",,"['App Settings', 'Settings', 'SettingsMap', 'App Language']",skip,string
Filter Comments,"['App Settings', 'Settings', 'SettingsMap', 'Filter Comments']",,"['App Settings', 'Settings', 'SettingsMap', 'Filter Comments']",skip,string
Interests,"['App Settings', 'Settings', 'SettingsMap', 'Interests']",,"['App Settings', 'Settings', 'SettingsMap', 'Interests']",skip,string
Private Account,"['App Settings', 'Settings', 'SettingsMap', 'Private Account']",,"['App Settings', 'Settings', 'SettingsMap', 'Private Account']",skip,string
Suggest your account to Facebook friends,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to Facebook friends']",,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to Facebook friends']",skip,string
Suggest your account to contacts,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to contacts']",,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to contacts']",skip,string
Suggest your account to people who open or send links to you,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to people who open or send links to you']",,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to people who open or send links to you']",skip,string
Web Language,"['App Settings', 'Settings', 'SettingsMap', 'Web Language']",,"['App Settings', 'Settings', 'SettingsMap', 'Web Language']",skip,string
