column_name,path,list_path,subfield_path,var_type,data_type
App,"['Favorite Videos', 'App']",,"[""Favorite Videos"", ""App""]",static,number
App,"['Follower List', 'App']",,"[""Follower List"", ""App""]",static,number
IsFastLane,"['Follower List', 'IsFastLane']",,"[""Follower List"", ""IsFastLane""]",static,boolean
App,"['Following List', 'App']",,"[""Following List"", ""App""]",static,number
IsFastLane,"['Following List', 'IsFastLane']",,"[""Following List"", ""IsFastLane""]",static,boolean
App,"['Like List', 'App']",,"[""Like List"", ""App""]",static,number
AdInterestCategories,"['Ad Interests', 'AdInterestCategories']",,"[""Ad Interests"", ""AdInterestCategories""]",static,string
App,"['Block', 'App']",,"[""Block"", ""App""]",static,number
App,"['Settings', 'App']",,"[""Settings"", ""App""]",static,number
App,"['Comments', 'App']",,"[""Comments"", ""App""]",static,number
CreateDate,"['AIMoji', 'CreateDate']",,"[""AIMoji"", ""CreateDate""]",static,string
PhoneNumber,"['Auto Fill', 'PhoneNumber']",,"[""Auto Fill"", ""PhoneNumber""]",static,string
Email,"['Auto Fill', 'Email']",,"[""Auto Fill"", ""Email""]",static,string
FirstName,"['Auto Fill', 'FirstName']",,"[""Auto Fill"", ""FirstName""]",static,string
LastName,"['Auto Fill', 'LastName']",,"[""Auto Fill"", ""LastName""]",static,string
Address,"['Auto Fill', 'Address']",,"[""Auto Fill"", ""Address""]",static,string
ZipCode,"['Auto Fill', 'ZipCode']",,"[""Auto Fill"", ""ZipCode""]",static,string
Unit,"['Auto Fill', 'Unit']",,"[""Auto Fill"", ""Unit""]",static,string
City,"['Auto Fill', 'City']",,"[""Auto Fill"", ""City""]",static,string
State,"['Auto Fill', 'State']",,"[""Auto Fill"", ""State""]",static,string
Country,"['Auto Fill', 'Country']",,"[""Auto Fill"", ""Country""]",static,string
App,"['Profile Information', 'App']",,"[""Profile Information"", ""App""]",static,number
MostRecentModificationTimeInApp,"['Watch Live Settings', 'MostRecentModificationTimeInApp']",,"[""Watch Live Settings"", ""MostRecentModificationTimeInApp""]",static,string
MostRecentModificationTimeInWeb,"['Watch Live Settings', 'MostRecentModificationTimeInWeb']",,"[""Watch Live Settings"", ""MostRecentModificationTimeInWeb""]",static,string
note,"['Activity Summary', 'ActivitySummaryMap', 'note']",,"[""Activity Summary"", ""ActivitySummaryMap"", ""note""]",static,string
videosCommentedOnSinceAccountRegistration,"['Activity Summary', 'ActivitySummaryMap', 'videosCommentedOnSinceAccountRegistration']",,"[""Activity Summary"", ""ActivitySummaryMap"", ""videosCommentedOnSinceAccountRegistration""]",static,number
videosSharedSinceAccountRegistration,"['Activity Summary', 'ActivitySummaryMap', 'videosSharedSinceAccountRegistration']",,"[""Activity Summary"", ""ActivitySummaryMap"", ""videosSharedSinceAccountRegistration""]",static,number
videosWatchedToTheEndSinceAccountRegistration,"['Activity Summary', 'ActivitySummaryMap', 'videosWatchedToTheEndSinceAccountRegistration']",,"[""Activity Summary"", ""ActivitySummaryMap"", ""videosWatchedToTheEndSinceAccountRegistration""]",static,number
Date,"['Favorite Videos', 'FavoriteVideoList', 'Date']","[""Favorite Videos"", ""FavoriteVideoList""]","""Date""",list,string
Link,"['Favorite Videos', 'FavoriteVideoList', 'Link']","[""Favorite Videos"", ""FavoriteVideoList""]","""Link""",list,string
Date,"['Following List', 'Following', 'Date']","[""Following List"", ""Following""]","""Date""",list,string
UserName,"['Following List', 'Following', 'UserName']","[""Following List"", ""Following""]","""UserName""",list,string
HashtagName,"['Hashtag', 'HashtagList', 'HashtagName']","[""Hashtag"", ""HashtagList""]","""HashtagName""",list,string
HashtagLink,"['Hashtag', 'HashtagList', 'HashtagLink']","[""Hashtag"", ""HashtagList""]","""HashtagLink""",list,string
date,"['Like List', 'ItemFavoriteList', 'date']","[""Like List"", ""ItemFavoriteList""]","""date""",list,string
link,"['Like List', 'ItemFavoriteList', 'link']","[""Like List"", ""ItemFavoriteList""]","""link""",list,string
Date,"['Login History', 'LoginHistoryList', 'Date']","[""Login History"", ""LoginHistoryList""]","""Date""",list,string
IP,"['Login History', 'LoginHistoryList', 'IP']","[""Login History"", ""LoginHistoryList""]","""IP""",list,string
DeviceModel,"['Login History', 'LoginHistoryList', 'DeviceModel']","[""Login History"", ""LoginHistoryList""]","""DeviceModel""",list,string
DeviceSystem,"['Login History', 'LoginHistoryList', 'DeviceSystem']","[""Login History"", ""LoginHistoryList""]","""DeviceSystem""",list,string
NetworkType,"['Login History', 'LoginHistoryList', 'NetworkType']","[""Login History"", ""LoginHistoryList""]","""NetworkType""",list,string
Carrier,"['Login History', 'LoginHistoryList', 'Carrier']","[""Login History"", ""LoginHistoryList""]","""Carrier""",list,string
Date,"['Most Recent Location Data', 'LocationData', 'Date']",,"[""Most Recent Location Data"", ""LocationData"", ""Date""]",static,string
GpsData,"['Most Recent Location Data', 'LocationData', 'GpsData']",,"[""Most Recent Location Data"", ""LocationData"", ""GpsData""]",static,string
LastRegion,"['Most Recent Location Data', 'LocationData', 'LastRegion']",,"[""Most Recent Location Data"", ""LocationData"", ""LastRegion""]",static,string
Date,"['Search History', 'SearchList', 'Date']","[""Search History"", ""SearchList""]","""Date""",list,string
SearchTerm,"['Search History', 'SearchList', 'SearchTerm']","[""Search History"", ""SearchList""]","""SearchTerm""",list,string
Date,"['Share History', 'ShareHistoryList', 'Date']","[""Share History"", ""ShareHistoryList""]","""Date""",list,string
SharedContent,"['Share History', 'ShareHistoryList', 'SharedContent']","[""Share History"", ""ShareHistoryList""]","""SharedContent""",list,string
Link,"['Share History', 'ShareHistoryList', 'Link']","[""Share History"", ""ShareHistoryList""]","""Link""",list,string
Method,"['Share History', 'ShareHistoryList', 'Method']","[""Share History"", ""ShareHistoryList""]","""Method""",list,string
Resolution,"['Status', 'Status List', 'Resolution']","[""Status"", ""Status List""]","""Resolution""",list,string
App Version,"['Status', 'Status List', 'App Version']","[""Status"", ""Status List""]","""App Version""",list,string
IDFA,"['Status', 'Status List', 'IDFA']","[""Status"", ""Status List""]","""IDFA""",list,string
GAID,"['Status', 'Status List', 'GAID']","[""Status"", ""Status List""]","""GAID""",list,string
Android ID,"['Status', 'Status List', 'Android ID']","[""Status"", ""Status List""]","""Android ID""",list,string
IDFV,"['Status', 'Status List', 'IDFV']","[""Status"", ""Status List""]","""IDFV""",list,string
Web ID,"['Status', 'Status List', 'Web ID']","[""Status"", ""Status List""]","""Web ID""",list,string
Date,"['Video Browsing History', 'VideoList', 'Date']","[""Video Browsing History"", ""VideoList""]","""Date""",list,string
Link,"['Video Browsing History', 'VideoList', 'Link']","[""Video Browsing History"", ""VideoList""]","""Link""",list,string
Date,"['Block', 'BlockList', 'Date']","[""Block"", ""BlockList""]","""Date""",list,string
UserName,"['Block', 'BlockList', 'UserName']","[""Block"", ""BlockList""]","""UserName""",list,string
Allow DownLoad,"['Settings', 'SettingsMap', 'Allow DownLoad']",,"[""Settings"", ""SettingsMap"", ""Allow DownLoad""]",static,string
Allow Others to Find Me,"['Settings', 'SettingsMap', 'Allow Others to Find Me']",,"[""Settings"", ""SettingsMap"", ""Allow Others to Find Me""]",static,string
App Language,"['Settings', 'SettingsMap', 'App Language']",,"[""Settings"", ""SettingsMap"", ""App Language""]",static,string
Filter Comments,"['Settings', 'SettingsMap', 'Filter Comments']",,"[""Settings"", ""SettingsMap"", ""Filter Comments""]",static,string
Interests,"['Settings', 'SettingsMap', 'Interests']",,"[""Settings"", ""SettingsMap"", ""Interests""]",static,string
Private Account,"['Settings', 'SettingsMap', 'Private Account']",,"[""Settings"", ""SettingsMap"", ""Private Account""]",static,string
Suggest your account to Facebook friends,"['Settings', 'SettingsMap', 'Suggest your account to Facebook friends']",,"[""Settings"", ""SettingsMap"", ""Suggest your account to Facebook friends""]",static,string
Suggest your account to contacts,"['Settings', 'SettingsMap', 'Suggest your account to contacts']",,"[""Settings"", ""SettingsMap"", ""Suggest your account to contacts""]",static,string
Suggest your account to people who open or send links to you,"['Settings', 'SettingsMap', 'Suggest your account to people who open or send links to you']",,"[""Settings"", ""SettingsMap"", ""Suggest your account to people who open or send links to you""]",static,string
Web Language,"['Settings', 'SettingsMap', 'Web Language']",,"[""Settings"", ""SettingsMap"", ""Web Language""]",static,string
Who Can Duet With Me,"['Settings', 'SettingsMap', 'Who Can Duet With Me']",,"[""Settings"", ""SettingsMap"", ""Who Can Duet With Me""]",static,string
Who Can Post Comments,"['Settings', 'SettingsMap', 'Who Can Post Comments']",,"[""Settings"", ""SettingsMap"", ""Who Can Post Comments""]",static,string
Who Can Send Me Message,"['Settings', 'SettingsMap', 'Who Can Send Me Message']",,"[""Settings"", ""SettingsMap"", ""Who Can Send Me Message""]",static,string
Who Can Stitch with your videos,"['Settings', 'SettingsMap', 'Who Can Stitch with your videos']",,"[""Settings"", ""SettingsMap"", ""Who Can Stitch with your videos""]",static,string
Who Can View Videos I Liked,"['Settings', 'SettingsMap', 'Who Can View Videos I Liked']",,"[""Settings"", ""SettingsMap"", ""Who Can View Videos I Liked""]",static,string
date,"['Comments', 'CommentsList', 'date']","[""Comments"", ""CommentsList""]","""date""",list,string
comment,"['Comments', 'CommentsList', 'comment']","[""Comments"", ""CommentsList""]","""comment""",list,string
photo,"['Comments', 'CommentsList', 'photo']","[""Comments"", ""CommentsList""]","""photo""",list,string
url,"['Comments', 'CommentsList', 'url']","[""Comments"", ""CommentsList""]","""url""",list,string
PlaceName,"['POI Review', 'ReviewsList', 'PlaceName']","[""POI Review"", ""ReviewsList""]","""PlaceName""",list,string
Date,"['POI Review', 'ReviewsList', 'Date']","[""POI Review"", ""ReviewsList""]","""Date""",list,string
Rating,"['POI Review', 'ReviewsList', 'Rating']","[""POI Review"", ""ReviewsList""]","""Rating""",list,string
Status,"['POI Review', 'ReviewsList', 'Status']","[""POI Review"", ""ReviewsList""]","""Status""",list,string
Likes,"['POI Review', 'ReviewsList', 'Likes']","[""POI Review"", ""ReviewsList""]","""Likes""",list,string
ReviewText,"['POI Review', 'ReviewsList', 'ReviewText']","[""POI Review"", ""ReviewsList""]","""ReviewText""",list,string
bioDescription,"['Profile Information', 'ProfileMap', 'bioDescription']",,"[""Profile Information"", ""ProfileMap"", ""bioDescription""]",static,string
birthDate,"['Profile Information', 'ProfileMap', 'birthDate']",,"[""Profile Information"", ""ProfileMap"", ""birthDate""]",static,string
emailAddress,"['Profile Information', 'ProfileMap', 'emailAddress']",,"[""Profile Information"", ""ProfileMap"", ""emailAddress""]",static,string
likesReceived,"['Profile Information', 'ProfileMap', 'likesReceived']",,"[""Profile Information"", ""ProfileMap"", ""likesReceived""]",static,string
profilePhoto,"['Profile Information', 'ProfileMap', 'profilePhoto']",,"[""Profile Information"", ""ProfileMap"", ""profilePhoto""]",static,string
profileVideo,"['Profile Information', 'ProfileMap', 'profileVideo']",,"[""Profile Information"", ""ProfileMap"", ""profileVideo""]",static,string
telephoneNumber,"['Profile Information', 'ProfileMap', 'telephoneNumber']",,"[""Profile Information"", ""ProfileMap"", ""telephoneNumber""]",static,string
userName,"['Profile Information', 'ProfileMap', 'userName']",,"[""Profile Information"", ""ProfileMap"", ""userName""]",static,string
