column_name,path,list_path,subfield_path,var_type,data_type
App,"['Activity', 'Favorite Videos', 'App']",,"['Activity', 'Favorite Videos', 'App']",skip,number
App,"['Activity', 'Follower List', 'App']",,"['Activity', 'Follower List', 'App']",skip,number
IsFastLane,"['Activity', 'Follower List', 'IsFastLane']",,"['Activity', 'Follower List', 'IsFastLane']",skip,boolean
App,"['Activity', 'Following List', 'App']",,"['Activity', 'Following List', 'App']",skip,number
IsFastLane,"['Activity', 'Following List', 'IsFastLane']",,"['Activity', 'Following List', 'IsFastLane']",skip,boolean
App,"['Activity', 'Like List', 'App']",,"['Activity', 'Like List', 'App']",skip,number
AdInterestCategories,"['Ads and data', 'Ad Interests', 'AdInterestCategories']",,"['Ads and data', 'Ad Interests', 'AdInterestCategories']",skip,string
App,"['App Settings', 'Block', 'App']",,"['App Settings', 'Block', 'App']",skip,number
App,"['App Settings', 'Settings', 'App']",,"['App Settings', 'Settings', 'App']",skip,number
App,"['Comment', 'Comments', 'App']",,"['Comment', 'Comments', 'App']",skip,number
CreateDate,"['Profile', 'AIMoji', 'CreateDate']",,"['Profile', 'AIMoji', 'CreateDate']",skip,string
PhoneNumber,"['Profile', 'Auto Fill', 'PhoneNumber']",,"['Profile', 'Auto Fill', 'PhoneNumber']",skip,string
Email,"['Profile', 'Auto Fill', 'Email']",,"['Profile', 'Auto Fill', 'Email']",skip,string
FirstName,"['Profile', 'Auto Fill', 'FirstName']",,"['Profile', 'Auto Fill', 'FirstName']",skip,string
LastName,"['Profile', 'Auto Fill', 'LastName']",,"['Profile', 'Auto Fill', 'LastName']",skip,string
Address,"['Profile', 'Auto Fill', 'Address']",,"['Profile', 'Auto Fill', 'Address']",skip,string
ZipCode,"['Profile', 'Auto Fill', 'ZipCode']",,"['Profile', 'Auto Fill', 'ZipCode']",skip,string
Unit,"['Profile', 'Auto Fill', 'Unit']",,"['Profile', 'Auto Fill', 'Unit']",skip,string
City,"['Profile', 'Auto Fill', 'City']",,"['Profile', 'Auto Fill', 'City']",skip,string
State,"['Profile', 'Auto Fill', 'State']",,"['Profile', 'Auto Fill', 'State']",skip,string
Country,"['Profile', 'Auto Fill', 'Country']",,"['Profile', 'Auto Fill', 'Country']",skip,string
App,"['Profile', 'Profile Information', 'App']",,"['Profile', 'Profile Information', 'App']",skip,number
MostRecentModificationTimeInApp,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInApp']",,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInApp']",skip,string
MostRecentModificationTimeInWeb,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInWeb']",,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInWeb']",skip,string
note,"['Activity', 'Activity Summary', 'ActivitySummaryMap', 'note']",,"['Activity', 'Activity Summary', 'ActivitySummaryMap', 'note']",skip,string
videosCommentedOnSinceAccountRegistration,"['Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosCommentedOnSinceAccountRegistration']",,"['Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosCommentedOnSinceAccountRegistration']",skip,number
videosSharedSinceAccountRegistration,"['Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosSharedSinceAccountRegistration']",,"['Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosSharedSinceAccountRegistration']",skip,number
videosWatchedToTheEndSinceAccountRegistration,"['Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosWatchedToTheEndSinceAccountRegistration']",,"['Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosWatchedToTheEndSinceAccountRegistration']",skip,number
Date,"['Activity', 'Favorite Videos', 'FavoriteVideoList', 'Date']",,"['Activity', 'Favorite Videos', 'FavoriteVideoList', 'Date']",static,string
Link,"['Activity', 'Favorite Videos', 'FavoriteVideoList', 'Link']",,"['Activity', 'Favorite Videos', 'FavoriteVideoList', 'Link']",static,string
Date,"['Activity', 'Follower List', 'FansList', 'Date']",,"['Activity', 'Follower List', 'FansList', 'Date']",static,string
UserName,"['Activity', 'Follower List', 'FansList', 'UserName']",,"['Activity', 'Follower List', 'FansList', 'UserName']",static,string
Date,"['Activity', 'Following List', 'Following', 'Date']",,"['Activity', 'Following List', 'Following', 'Date']",static,string
