column_name,path,list_path,subfield_path,var_type,data_type
App,"['Activity', 'Favorite Videos', 'App']",,"['Activity', 'Favorite Videos', 'App']",static,number
App,"['Activity', 'Follower List', 'App']",,"['Activity', 'Follower List', 'App']",static,number
IsFastLane,"['Activity', 'Follower List', 'IsFastLane']",,"['Activity', 'Follower List', 'IsFastLane']",static,boolean
App,"['Activity', 'Following List', 'App']",,"['Activity', 'Following List', 'App']",static,number
IsFastLane,"['Activity', 'Following List', 'IsFastLane']",,"['Activity', 'Following List', 'IsFastLane']",static,boolean
App,"['Activity', 'Like List', 'App']",,"['Activity', 'Like List', 'App']",static,number
AdInterestCategories,"['Ads and data', 'Ad Interests', 'AdInterestCategories']",,"['Ads and data', 'Ad Interests', 'AdInterestCategories']",static,string
App,"['App Settings', 'Block', 'App']",,"['App Settings', 'Block', 'App']",static,number
App,"['App Settings', 'Settings', 'App']",,"['App Settings', 'Settings', 'App']",static,number
App,"['Comment', 'Comments', 'App']",,"['Comment', 'Comments', 'App']",static,number
CreateDate,"['Profile', 'AIMoji', 'CreateDate']",,"['Profile', 'AIMoji', 'CreateDate']",static,string
PhoneNumber,"['Profile', 'Auto Fill', 'PhoneNumber']",,"['Profile', 'Auto Fill', 'PhoneNumber']",static,string
Email,"['Profile', 'Auto Fill', 'Email']",,"['Profile', 'Auto Fill', 'Email']",static,string
FirstName,"['Profile', 'Auto Fill', 'FirstName']",,"['Profile', 'Auto Fill', 'FirstName']",static,string
LastName,"['Profile', 'Auto Fill', 'LastName']",,"['Profile', 'Auto Fill', 'LastName']",static,string
Address,"['Profile', 'Auto Fill', 'Address']",,"['Profile', 'Auto Fill', 'Address']",static,string
ZipCode,"['Profile', 'Auto Fill', 'ZipCode']",,"['Profile', 'Auto Fill', 'ZipCode']",static,string
Unit,"['Profile', 'Auto Fill', 'Unit']",,"['Profile', 'Auto Fill', 'Unit']",static,string
City,"['Profile', 'Auto Fill', 'City']",,"['Profile', 'Auto Fill', 'City']",static,string
State,"['Profile', 'Auto Fill', 'State']",,"['Profile', 'Auto Fill', 'State']",static,string
Country,"['Profile', 'Auto Fill', 'Country']",,"['Profile', 'Auto Fill', 'Country']",static,string
App,"['Profile', 'Profile Information', 'App']",,"['Profile', 'Profile Information', 'App']",static,number
MostRecentModificationTimeInApp,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInApp']",,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInApp']",static,string
MostRecentModificationTimeInWeb,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInWeb']",,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInWeb']",static,string
note,"['Activity', 'Activity Summary', 'ActivitySummaryMap', 'note']",,"['Activity', 'Activity Summary', 'ActivitySummaryMap', 'note']",static,string
videosCommentedOnSinceAccountRegistration,"['Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosCommentedOnSinceAccountRegistration']",,"['Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosCommentedOnSinceAccountRegistration']",static,number
