column_name,path,list_path,subfield_path,var_type,data_type
AdInterestCategories,"['Ads and data', 'Ad Interests', 'AdInterestCategories']",,"['Ads and data', 'Ad Interests', 'AdInterestCategories']",static,string
ResponsesList,"['Ads and data', 'Instant Form Ads Responses', 'ResponsesList']",,"['Ads and data', 'Instant Form Ads Responses', 'ResponsesList']",static,object
OffTikTokActivityDataList,"['Ads and data', 'Off TikTok Activity', 'OffTikTokActivityDataList']",,"['Ads and data', 'Off TikTok Activity', 'OffTikTokActivityDataList']",static,object
App,"['App Settings', 'Block List', 'App']",,"['App Settings', 'Block List', 'App']",static,number
BlockList,"['App Settings', 'Block List', 'BlockList']",,"['App Settings', 'Block List', 'BlockList']",static,object
App,"['App Settings', 'Settings', 'App']",,"['App Settings', 'Settings', 'App']",static,number
App,"['Comment', 'Comments', 'App']",,"['Comment', 'Comments', 'App']",static,number
CommentsList,"['Comment', 'Comments', 'CommentsList']",,"['Comment', 'Comments', 'CommentsList']",static,object
TransactionsList,"['Income Plus Wallet Transactions', 'Transaction History', 'TransactionsList']",,"['Income Plus Wallet Transactions', 'Transaction History', 'TransactionsList']",static,object
ReviewsList,"['Location Review', 'Location Reviews', 'ReviewsList']",,"['Location Review', 'Location Reviews', 'ReviewsList']",static,object
VideoList,"['Post', 'Posts', 'VideoList']",,"['Post', 'Posts', 'VideoList']",static,object
PostList,"['Post', 'Recently Deleted Posts', 'PostList']",,"['Post', 'Recently Deleted Posts', 'PostList']",static,object
CreateDate,"['Profile', 'AI-Moji', 'CreateDate']",,"['Profile', 'AI-Moji', 'CreateDate']",static,string
AIMojiList,"['Profile', 'AI-Moji', 'AIMojiList']",,"['Profile', 'AI-Moji', 'AIMojiList']",static,object
PhoneNumber,"['Profile', 'Autofill', 'PhoneNumber']",,"['Profile', 'Autofill', 'PhoneNumber']",static,string
Email,"['Profile', 'Autofill', 'Email']",,"['Profile', 'Autofill', 'Email']",static,string
FirstName,"['Profile', 'Autofill', 'FirstName']",,"['Profile', 'Autofill', 'FirstName']",static,string
LastName,"['Profile', 'Autofill', 'LastName']",,"['Profile', 'Autofill', 'LastName']",static,string
Address,"['Profile', 'Autofill', 'Address']",,"['Profile', 'Autofill', 'Address']",static,string
ZipCode,"['Profile', 'Autofill', 'ZipCode']",,"['Profile', 'Autofill', 'ZipCode']",static,string
Unit,"['Profile', 'Autofill', 'Unit']",,"['Profile', 'Autofill', 'Unit']",static,string
City,"['Profile', 'Autofill', 'City']",,"['Profile', 'Autofill', 'City']",static,string
State,"['Profile', 'Autofill', 'State']",,"['Profile', 'Autofill', 'State']",static,string
Country,"['Profile', 'Autofill', 'Country']",,"['Profile', 'Autofill', 'Country']",static,string
App,"['Profile', 'Profile Info', 'App']",,"['Profile', 'Profile Info', 'App']",static,number
CommunicationHistories,"['TikTok Shop', 'Communication With Shops', 'CommunicationHistories']",,"['TikTok Shop', 'Communication With Shops', 'CommunicationHistories']",static,object
PayCard,"['TikTok Shop', 'Current Payment Information', 'PayCard']",,"['TikTok Shop', 'Current Payment Information', 'PayCard']",static,object
CustomerSupportHistories,"['TikTok Shop', 'Customer Support History', 'CustomerSupportHistories']",,"['TikTok Shop', 'Customer Support History', 'CustomerSupportHistories']",static,object
OrderDisputeHistories,"['TikTok Shop', 'Order Dispute History', 'OrderDisputeHistories']",,"['TikTok Shop', 'Order Dispute History', 'OrderDisputeHistories']",static,object
OrderHistories,"['TikTok Shop', 'Order History', 'OrderHistories']",,"['TikTok Shop', 'Order History', 'OrderHistories']",static,object
ProductBrowsingHistories,"['TikTok Shop', 'Product Browsing History', 'ProductBrowsingHistories']",,"['TikTok Shop', 'Product Browsing History', 'ProductBrowsingHistories']",static,object
ProductReviewHistories,"['TikTok Shop', 'Product Reviews', 'ProductReviewHistories']",,"['TikTok Shop', 'Product Reviews', 'ProductReviewHistories']",static,object
ReturnAndRefundHistories,"['TikTok Shop', 'Returns and Refunds History', 'ReturnAndRefundHistories']",,"['TikTok Shop', 'Returns and Refunds History', 'ReturnAndRefundHistories']",static,object
SavedAddress,"['TikTok Shop', 'Saved Address Information', 'SavedAddress']",,"['TikTok Shop', 'Saved Address Information', 'SavedAddress']",static,object
ShoppingCart,"['TikTok Shop', 'Shopping Cart List', 'ShoppingCart']",,"['TikTok Shop', 'Shopping Cart List', 'ShoppingCart']",static,object
Vouchers,"['TikTok Shop', 'Vouchers', 'Vouchers']",,"['TikTok Shop', 'Vouchers', 'Vouchers']",static,object
GoLiveList,"['Tiktok Live', 'Go Live History', 'GoLiveList']",,"['Tiktok Live', 'Go Live History', 'GoLiveList']",static,object
MostRecentModificationTimeInApp,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInApp']",,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInApp']",static,string
MostRecentModificationTimeInWeb,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInWeb']",,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInWeb']",static,string
FavoriteEffectsList,"['Your Activity', 'Favorite Effects', 'FavoriteEffectsList']",,"['Your Activity', 'Favorite Effects', 'FavoriteEffectsList']",static,object
FavoriteHashtagList,"['Your Activity', 'Favorite Hashtags', 'FavoriteHashtagList']",,"['Your Activity', 'Favorite Hashtags', 'FavoriteHashtagList']",static,object
FavoriteSoundList,"['Your Activity', 'Favorite Sounds', 'FavoriteSoundList']",,"['Your Activity', 'Favorite Sounds', 'FavoriteSoundList']",static,object
App,"['Your Activity', 'Favorite Videos', 'App']",,"['Your Activity', 'Favorite Videos', 'App']",static,number
App,"['Your Activity', 'Follower', 'App']",,"['Your Activity', 'Follower', 'App']",static,number
IsFastLane,"['Your Activity', 'Follower', 'IsFastLane']",,"['Your Activity', 'Follower', 'IsFastLane']",static,boolean
FansList,"['Your Activity', 'Follower', 'FansList']",,"['Your Activity', 'Follower', 'FansList']",static,object
App,"['Your Activity', 'Following', 'App']",,"['Your Activity', 'Following', 'App']",static,number
IsFastLane,"['Your Activity', 'Following', 'IsFastLane']",,"['Your Activity', 'Following', 'IsFastLane']",static,boolean
HashtagList,"['Your Activity', 'Hashtag', 'HashtagList']",,"['Your Activity', 'Hashtag', 'HashtagList']",static,object
App,"['Your Activity', 'Like List', 'App']",,"['Your Activity', 'Like List', 'App']",static,number
ItemFavoriteList,"['Your Activity', 'Like List', 'ItemFavoriteList']",,"['Your Activity', 'Like List', 'ItemFavoriteList']",static,object
ShareHistoryList,"['Your Activity', 'Share History', 'ShareHistoryList']",,"['Your Activity', 'Share History', 'ShareHistoryList']",static,object
Allow DownLoad,"['App Settings', 'Settings', 'SettingsMap', 'Allow DownLoad']",,"['App Settings', 'Settings', 'SettingsMap', 'Allow DownLoad']",static,string
Allow Others to Find Me,"['App Settings', 'Settings', 'SettingsMap', 'Allow Others to Find Me']",,"['App Settings', 'Settings', 'SettingsMap', 'Allow Others to Find Me']",static,string
App Language,"['App Settings', 'Settings', 'SettingsMap', 'App Language']",,"['App Settings', 'Settings', 'SettingsMap', 'App Language']",static,string
Filter Comments,"['App Settings', 'Settings', 'SettingsMap', 'Filter Comments']",,"['App Settings', 'Settings', 'SettingsMap', 'Filter Comments']",static,string
Interests,"['App Settings', 'Settings', 'SettingsMap', 'Interests']",,"['App Settings', 'Settings', 'SettingsMap', 'Interests']",static,string
Personalized Ads,"['App Settings', 'Settings', 'SettingsMap', 'Personalized Ads']",,"['App Settings', 'Settings', 'SettingsMap', 'Personalized Ads']",static,string
Private Account,"['App Settings', 'Settings', 'SettingsMap', 'Private Account']",,"['App Settings', 'Settings', 'SettingsMap', 'Private Account']",static,string
Suggest your account to Facebook friends,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to Facebook friends']",,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to Facebook friends']",static,string
Suggest your account to contacts,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to contacts']",,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to contacts']",static,string
Suggest your account to people who open or send links to you,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to people who open or send links to you']",,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to people who open or send links to you']",static,string
Web Language,"['App Settings', 'Settings', 'SettingsMap', 'Web Language']",,"['App Settings', 'Settings', 'SettingsMap', 'Web Language']",static,string
Who Can Duet With Me,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Duet With Me']",,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Duet With Me']",static,string
Who Can Post Comments,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Post Comments']",,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Post Comments']",static,string
Who Can Send Me Message,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Send Me Message']",,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Send Me Message']",static,string
Who Can Stitch with your videos,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Stitch with your videos']",,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Stitch with your videos']",static,string
Who Can View Videos I Liked,"['App Settings', 'Settings', 'SettingsMap', 'Who Can View Videos I Liked']",,"['App Settings', 'Settings', 'SettingsMap', 'Who Can View Videos I Liked']",static,string
PlatformInfo,"['Profile', 'Profile Info', 'ProfileMap', 'PlatformInfo']",,"['Profile', 'Profile Info', 'ProfileMap', 'PlatformInfo']",static,array
bioDescription,"['Profile', 'Profile Info', 'ProfileMap', 'bioDescription']",,"['Profile', 'Profile Info', 'ProfileMap', 'bioDescription']",static,string
birthDate,"['Profile', 'Profile Info', 'ProfileMap', 'birthDate']",,"['Profile', 'Profile Info', 'ProfileMap', 'birthDate']",static,string
emailAddress,"['Profile', 'Profile Info', 'ProfileMap', 'emailAddress']",,"['Profile', 'Profile Info', 'ProfileMap', 'emailAddress']",static,string
likesReceived,"['Profile', 'Profile Info', 'ProfileMap', 'likesReceived']",,"['Profile', 'Profile Info', 'ProfileMap', 'likesReceived']",static,string
profilePhoto,"['Profile', 'Profile Info', 'ProfileMap', 'profilePhoto']",,"['Profile', 'Profile Info', 'ProfileMap', 'profilePhoto']",static,string
profileVideo,"['Profile', 'Profile Info', 'ProfileMap', 'profileVideo']",,"['Profile', 'Profile Info', 'ProfileMap', 'profileVideo']",static,string
