variable,value,row_path,col_path_1,col_path_2,col_path_3,col_path_4,col_path_5,data_type,col_path_1_values,col_path_2_values,col_path_3_values,col_path_4_values
Activity Summary,"{'ActivitySummaryMap': {'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}}",Activity Summary,ActivitySummaryMap,note,Missing,Missing,Missing,string,"{'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}",string,Missing,Missing
Activity Summary,"{'ActivitySummaryMap': {'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}}",Activity Summary,ActivitySummaryMap,videosCommentedOnSinceAccountRegistration,Missing,Missing,Missing,number,"{'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}",number,Missing,Missing
Activity Summary,"{'ActivitySummaryMap': {'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}}",Activity Summary,ActivitySummaryMap,videosSharedSinceAccountRegistration,Missing,Missing,Missing,number,"{'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}",number,Missing,Missing
Activity Summary,"{'ActivitySummaryMap': {'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}}",Activity Summary,ActivitySummaryMap,videosWatchedToTheEndSinceAccountRegistration,Missing,Missing,Missing,number,"{'note': 'string', 'videosCommentedOnSinceAccountRegistration': 'number', 'videosSharedSinceAccountRegistration': 'number', 'videosWatchedToTheEndSinceAccountRegistration': 'number'}",number,Missing,Missing
Favorite Effects,{'FavoriteEffectsList': None},Favorite Effects,FavoriteEffectsList,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing
Favorite Hashtags,{'FavoriteHashtagList': None},Favorite Hashtags,FavoriteHashtagList,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing
Favorite Sounds,{'FavoriteSoundList': None},Favorite Sounds,FavoriteSoundList,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing
Favorite Videos,"{'App': 'number', 'FavoriteVideoList': [{'Date': 'string', 'Link': 'string'}]}",Favorite Videos,App,Missing,Missing,Missing,Missing,number,number,Missing,Missing,Missing
Favorite Videos,"{'App': 'number', 'FavoriteVideoList': [{'Date': 'string', 'Link': 'string'}]}",Favorite Videos,FavoriteVideoList,Date,Missing,Missing,Missing,string,"{'Date': 'string', 'Link': 'string'}",string,Missing,Missing
Favorite Videos,"{'App': 'number', 'FavoriteVideoList': [{'Date': 'string', 'Link': 'string'}]}",Favorite Videos,FavoriteVideoList,Link,Missing,Missing,Missing,string,"{'Date': 'string', 'Link': 'string'}",string,Missing,Missing
Follower List,"{'App': 'number', 'IsFastLane': 'boolean', 'FansList': None}",Follower List,App,Missing,Missing,Missing,Missing,number,number,Missing,Missing,Missing
Follower List,"{'App': 'number', 'IsFastLane': 'boolean', 'FansList': None}",Follower List,IsFastLane,Missing,Missing,Missing,Missing,boolean,boolean,Missing,Missing,Missing
Follower List,"{'App': 'number', 'IsFastLane': 'boolean', 'FansList': None}",Follower List,FansList,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing
Following List,"{'App': 'number', 'IsFastLane': 'boolean', 'Following': [{'Date': 'string', 'UserName': 'string'}]}",Following List,App,Missing,Missing,Missing,Missing,number,number,Missing,Missing,Missing
Following List,"{'App': 'number', 'IsFastLane': 'boolean', 'Following': [{'Date': 'string', 'UserName': 'string'}]}",Following List,IsFastLane,Missing,Missing,Missing,Missing,boolean,boolean,Missing,Missing,Missing
Following List,"{'App': 'number', 'IsFastLane': 'boolean', 'Following': [{'Date': 'string', 'UserName': 'string'}]}",Following List,Following,Date,Missing,Missing,Missing,string,"{'Date': 'string', 'UserName': 'string'}",string,Missing,Missing
Following List,"{'App': 'number', 'IsFastLane': 'boolean', 'Following': [{'Date': 'string', 'UserName': 'string'}]}",Following List,Following,UserName,Missing,Missing,Missing,string,"{'Date': 'string', 'UserName': 'string'}",string,Missing,Missing
Hashtag,"{'HashtagList': [{'HashtagName': 'string', 'HashtagLink': 'string'}]}",Hashtag,HashtagList,HashtagName,Missing,Missing,Missing,string,"{'HashtagName': 'string', 'HashtagLink': 'string'}",string,Missing,Missing
Hashtag,"{'HashtagList': [{'HashtagName': 'string', 'HashtagLink': 'string'}]}",Hashtag,HashtagList,HashtagLink,Missing,Missing,Missing,string,"{'HashtagName': 'string', 'HashtagLink': 'string'}",string,Missing,Missing
Like List,"{'App': 'number', 'ItemFavoriteList': [{'date': 'string', 'link': 'string'}]}",Like List,App,Missing,Missing,Missing,Missing,number,number,Missing,Missing,Missing
Like List,"{'App': 'number', 'ItemFavoriteList': [{'date': 'string', 'link': 'string'}]}",Like List,ItemFavoriteList,date,Missing,Missing,Missing,string,"{'date': 'string', 'link': 'string'}",string,Missing,Missing
Like List,"{'App': 'number', 'ItemFavoriteList': [{'date': 'string', 'link': 'string'}]}",Like List,ItemFavoriteList,link,Missing,Missing,Missing,string,"{'date': 'string', 'link': 'string'}",string,Missing,Missing
Login History,"{'LoginHistoryList': [{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}]}",Login History,LoginHistoryList,Date,Missing,Missing,Missing,string,"{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}",string,Missing,Missing
Login History,"{'LoginHistoryList': [{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}]}",Login History,LoginHistoryList,IP,Missing,Missing,Missing,string,"{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}",string,Missing,Missing
Login History,"{'LoginHistoryList': [{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}]}",Login History,LoginHistoryList,DeviceModel,Missing,Missing,Missing,string,"{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}",string,Missing,Missing
Login History,"{'LoginHistoryList': [{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}]}",Login History,LoginHistoryList,DeviceSystem,Missing,Missing,Missing,string,"{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}",string,Missing,Missing
Login History,"{'LoginHistoryList': [{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}]}",Login History,LoginHistoryList,NetworkType,Missing,Missing,Missing,string,"{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}",string,Missing,Missing
Login History,"{'LoginHistoryList': [{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}]}",Login History,LoginHistoryList,Carrier,Missing,Missing,Missing,string,"{'Date': 'string', 'IP': 'string', 'DeviceModel': 'string', 'DeviceSystem': 'string', 'NetworkType': 'string', 'Carrier': 'string'}",string,Missing,Missing
Most Recent Location Data,"{'LocationData': {'Date': 'string', 'GpsData': 'string', 'LastRegion': 'string'}}",Most Recent Location Data,LocationData,Date,Missing,Missing,Missing,string,"{'Date': 'string', 'GpsData': 'string', 'LastRegion': 'string'}",string,Missing,Missing
Most Recent Location Data,"{'LocationData': {'Date': 'string', 'GpsData': 'string', 'LastRegion': 'string'}}",Most Recent Location Data,LocationData,GpsData,Missing,Missing,Missing,string,"{'Date': 'string', 'GpsData': 'string', 'LastRegion': 'string'}",string,Missing,Missing
