json_name,column_name,path,list_path,subfield_path,var_type,data_type,file_path
manifest.js,accountId,"['userInfo', 'accountId']",,"['userInfo', 'accountId']",static,string,data/manifest.js
manifest.js,userName,"['userInfo', 'userName']",,"['userInfo', 'userName']",static,string,data/manifest.js
manifest.js,displayName,"['userInfo', 'displayName']",,"['userInfo', 'displayName']",static,string,data/manifest.js
manifest.js,sizeBytes,"['archiveInfo', 'sizeBytes']",,"['archiveInfo', 'sizeBytes']",static,string,data/manifest.js
manifest.js,generationDate,"['archiveInfo', 'generationDate']",,"['archiveInfo', 'generationDate']",static,string,data/manifest.js
manifest.js,isPartialArchive,"['archiveInfo', 'isPartialArchive']",,"['archiveInfo', 'isPartialArchive']",static,boolean,data/manifest.js
manifest.js,maxPartSizeBytes,"['archiveInfo', 'maxPartSizeBytes']",,"['archiveInfo', 'maxPartSizeBytes']",static,string,data/manifest.js
manifest.js,fileName,"['readmeInfo', 'fileName']",,"['readmeInfo', 'fileName']",static,string,data/manifest.js
manifest.js,directory,"['readmeInfo', 'directory']",,"['readmeInfo', 'directory']",static,string,data/manifest.js
manifest.js,name,"['readmeInfo', 'name']",,"['readmeInfo', 'name']",static,string,data/manifest.js
account-creation-ip.js,accountId,"['accountCreationIp', 'accountId']",,"['accountCreationIp', 'accountId']",static,string,data/account-creation-ip.js
account-creation-ip.js,userCreationIp,"['accountCreationIp', 'userCreationIp']",,"['accountCreationIp', 'userCreationIp']",static,string,data/account-creation-ip.js
account-timezone.js,accountId,"['accountTimezone', 'accountId']",,"['accountTimezone', 'accountId']",static,string,data/account-timezone.js
account.js,email,"['account', 'email']",,"['account', 'email']",static,string,data/account.js
account.js,createdVia,"['account', 'createdVia']",,"['account', 'createdVia']",static,string,data/account.js
account.js,username,"['account', 'username']",,"['account', 'username']",static,string,data/account.js
account.js,accountId,"['account', 'accountId']",,"['account', 'accountId']",static,string,data/account.js
account.js,createdAt,"['account', 'createdAt']",,"['account', 'createdAt']",static,string,data/account.js
account.js,accountDisplayName,"['account', 'accountDisplayName']",,"['account', 'accountDisplayName']",static,string,data/account.js
ads-revenue-sharing.js,payoutHistory,"['adsRevenueSharing', 'payoutHistory']",,"['adsRevenueSharing', 'payoutHistory']",static,array,data/ads-revenue-sharing.js
connected-application.js,name,"['connectedApplication', 'name']",,"['connectedApplication', 'name']",static,string,data/connected-application.js
connected-application.js,description,"['connectedApplication', 'description']",,"['connectedApplication', 'description']",static,string,data/connected-application.js
connected-application.js,permissions,"['connectedApplication', 'permissions']",,"['connectedApplication', 'permissions']",static,string,data/connected-application.js
connected-application.js,approvedAt,"['connectedApplication', 'approvedAt']",,"['connectedApplication', 'approvedAt']",static,string,data/connected-application.js
connected-application.js,id,"['connectedApplication', 'id']",,"['connectedApplication', 'id']",static,string,data/connected-application.js
direct-message-group-headers.js,conversationId,"['dmConversation', 'conversationId']",,"['dmConversation', 'conversationId']",static,string,data/direct-message-group-headers.js
direct-messages-group.js,conversationId,"['dmConversation', 'conversationId']",,"['dmConversation', 'conversationId']",static,string,data/direct-messages-group.js
key-registry.js,userId,"['keyRegistryData', 'userId']",,"['keyRegistryData', 'userId']",static,string,data/key-registry.js
periscope-account-information.js,displayName,"['periscopeAccountInformation', 'displayName']",,"['periscopeAccountInformation', 'displayName']",static,string,data/periscope-account-information.js
periscope-account-information.js,digitsId,"['periscopeAccountInformation', 'digitsId']",,"['periscopeAccountInformation', 'digitsId']",static,string,data/periscope-account-information.js
