variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_2,col_path_3,col_path_4,col_path_5,data_type,col_path_1_values,col_path_2_values,col_path_3_values,col_path_4_values,col_path_5_values
data/sso.js,No data,data,sso.js,Missing,Missing,sso.js,no data,Missing,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing,Missing
data/verified.js,"{'verified': {'accountId': 'string', 'verified': 'boolean'}}",data,verified.js,Missing,Missing,verified.js,verified,accountId,Missing,Missing,Missing,Missing,string,"{'accountId': 'string', 'verified': 'boolean'}",string,Missing,Missing,Missing
data/verified.js,"{'verified': {'accountId': 'string', 'verified': 'boolean'}}",data,verified.js,Missing,Missing,verified.js,verified,verified,Missing,Missing,Missing,Missing,boolean,"{'accountId': 'string', 'verified': 'boolean'}",boolean,Missing,Missing,Missing
data/smartblock.js,No data,data,smartblock.js,Missing,Missing,smartblock.js,no data,Missing,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing,Missing
data/periscope-profile-description.js,No data,data,periscope-profile-description.js,Missing,Missing,periscope-profile-description.js,no data,Missing,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing,Missing
data/spaces-metadata.js,No data,data,spaces-metadata.js,Missing,Missing,spaces-metadata.js,no data,Missing,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing,Missing
data/periscope-expired-broadcasts.js,No data,data,periscope-expired-broadcasts.js,Missing,Missing,periscope-expired-broadcasts.js,no data,Missing,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing,Missing
data/verified-organization.js,{'verifiedOrganization': {}},data,verified-organization.js,Missing,Missing,verified-organization.js,verifiedOrganization,Missing,Missing,Missing,Missing,Missing,,{},Missing,Missing,Missing,Missing
data/saved-search.js,No data,data,saved-search.js,Missing,Missing,saved-search.js,no data,Missing,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing,Missing
data/reply-prompt.js,No data,data,reply-prompt.js,Missing,Missing,reply-prompt.js,no data,Missing,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing,Missing
data/periscope-followers.js,No data,data,periscope-followers.js,Missing,Missing,periscope-followers.js,no data,Missing,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing,Missing
data/user-link-clicks.js,No data,data,user-link-clicks.js,Missing,Missing,user-link-clicks.js,no data,Missing,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing,Missing
data/professional-data.js,No data,data,professional-data.js,Missing,Missing,professional-data.js,no data,Missing,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing,Missing
data/profile.js,"{'profile': {'description': {'bio': 'string', 'website': 'string', 'location': 'string'}, 'avatarMediaUrl': 'string'}}",data,profile.js,Missing,Missing,profile.js,profile,description,bio,Missing,Missing,Missing,string,"{'description': {'bio': 'string', 'website': 'string', 'location': 'string'}, 'avatarMediaUrl': 'string'}","{'bio': 'string', 'website': 'string', 'location': 'string'}",string,Missing,Missing
data/profile.js,"{'profile': {'description': {'bio': 'string', 'website': 'string', 'location': 'string'}, 'avatarMediaUrl': 'string'}}",data,profile.js,Missing,Missing,profile.js,profile,description,website,Missing,Missing,Missing,string,"{'description': {'bio': 'string', 'website': 'string', 'location': 'string'}, 'avatarMediaUrl': 'string'}","{'bio': 'string', 'website': 'string', 'location': 'string'}",string,Missing,Missing
data/profile.js,"{'profile': {'description': {'bio': 'string', 'website': 'string', 'location': 'string'}, 'avatarMediaUrl': 'string'}}",data,profile.js,Missing,Missing,profile.js,profile,description,location,Missing,Missing,Missing,string,"{'description': {'bio': 'string', 'website': 'string', 'location': 'string'}, 'avatarMediaUrl': 'string'}","{'bio': 'string', 'website': 'string', 'location': 'string'}",string,Missing,Missing
data/profile.js,"{'profile': {'description': {'bio': 'string', 'website': 'string', 'location': 'string'}, 'avatarMediaUrl': 'string'}}",data,profile.js,Missing,Missing,profile.js,profile,avatarMediaUrl,Missing,Missing,Missing,Missing,string,"{'description': {'bio': 'string', 'website': 'string', 'location': 'string'}, 'avatarMediaUrl': 'string'}",string,Missing,Missing,Missing
data/product-drop.js,No data,data,product-drop.js,Missing,Missing,product-drop.js,no data,Missing,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing,Missing
data/product-set.js,No data,data,product-set.js,Missing,Missing,product-set.js,no data,Missing,Missing,Missing,Missing,Missing,,Missing,Missing,Missing,Missing,Missing
data/tweet-headers.js,"{'tweet': {'tweet_id': 'string', 'user_id': 'string', 'created_at': 'string'}}",data,tweet-headers.js,Missing,Missing,tweet-headers.js,tweet,tweet_id,Missing,Missing,Missing,Missing,string,"{'tweet_id': 'string', 'user_id': 'string', 'created_at': 'string'}",string,Missing,Missing,Missing
data/tweet-headers.js,"{'tweet': {'tweet_id': 'string', 'user_id': 'string', 'created_at': 'string'}}",data,tweet-headers.js,Missing,Missing,tweet-headers.js,tweet,user_id,Missing,Missing,Missing,Missing,string,"{'tweet_id': 'string', 'user_id': 'string', 'created_at': 'string'}",string,Missing,Missing,Missing
data/tweet-headers.js,"{'tweet': {'tweet_id': 'string', 'user_id': 'string', 'created_at': 'string'}}",data,tweet-headers.js,Missing,Missing,tweet-headers.js,tweet,created_at,Missing,Missing,Missing,Missing,string,"{'tweet_id': 'string', 'user_id': 'string', 'created_at': 'string'}",string,Missing,Missing,Missing
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,demographics,languages,language,Missing,Missing,string,"{'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}","{'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}","{'language': 'string', 'isDisabled': 'boolean'}",string,Missing
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,demographics,languages,isDisabled,Missing,Missing,boolean,"{'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}","{'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}","{'language': 'string', 'isDisabled': 'boolean'}",boolean,Missing
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,demographics,genderInfo,gender,Missing,Missing,string,"{'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}","{'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}",{'gender': 'string'},string,Missing
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,interests,interests,name,Missing,Missing,string,"{'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}","{'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}","{'name': 'string', 'isDisabled': 'boolean'}",string,Missing
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,interests,interests,isDisabled,Missing,Missing,boolean,"{'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}","{'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}","{'name': 'string', 'isDisabled': 'boolean'}",boolean,Missing
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,interests,partnerInterests,Missing,Missing,Missing,array,"{'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}","{'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}",array,Missing,Missing
