File_name,Column_names
canal.csv,ID-ul canalului
canal.csv,Titlul canalului (original)
canal.csv,Vizibilitatea canalului
configurații pentru adresa URL a canalului.csv,ID-ul canalului
configurații pentru adresa URL a canalului.csv,Numele adresei URL personalizate a canalului 1
date despre funcțiile canalului.csv,ID-ul canalului
date despre funcțiile canalului.csv,Moderare automată a canalului în chatul live
date despre funcțiile canalului.csv,Tipul prestabilit de comentarii permise ale videoclipului
date despre funcțiile canalului.csv,Publicul vizat prestabilit al videoclipului
date despre funcțiile canalului.csv,Licența prestabilită a videoclipului
date despre funcțiile canalului.csv,Latitudinea prestabilită a videoclipului
date despre funcțiile canalului.csv,Longitudinea prestabilită a videoclipului
setări de moderare a comunității canalului.csv,ID-ul canalului
setările paginii de canal.csv,ID-ul canalului
abonamente.csv,ID-ul canalului
abonamente.csv,Adresa URL a canalului
abonamente.csv,Titlul canalului
