Key,Values
subscriptions.csv,Channel Id
subscriptions.csv,Channel Url
subscriptions.csv,Channel Title
HPC-videos.csv,Video ID
HPC-videos.csv,Playlist Video Creation Timestamp
Watch later-videos.csv,Video ID
Watch later-videos.csv,Playlist Video Creation Timestamp
Tryal-videos.csv,Video ID
Tryal-videos.csv,Playlist Video Creation Timestamp
comments.csv,Comment ID
comments.csv,Channel ID
comments.csv,Comment Create Timestamp
comments.csv,Price
comments.csv,Video ID
comments.csv,Comment Text
playlists.csv,Playlist ID
playlists.csv,Add new videos to top
playlists.csv,Playlist Title (Original)
playlists.csv,Playlist Title (Original) Language
playlists.csv,Playlist Create Timestamp
playlists.csv,Playlist Update Timestamp
playlists.csv,Playlist Video Order
playlists.csv,Playlist Visibility
channel page settings.csv,Channel ID
channel feature data.csv,Channel ID
channel feature data.csv,Channel Auto Moderation in Live Chat
channel feature data.csv,Video Default Allowed Comments Type
channel feature data.csv,Video Default Targeted Audience
channel feature data.csv,Video Default License
channel feature data.csv,Video Default Location Latitude
channel feature data.csv,Video Default Location Longitude
channel.csv,Channel ID
channel.csv,Channel Title (Original)
channel.csv,Channel Visibility
channel community moderation settings.csv,Channel ID
channel URL configs.csv,Channel ID
channel URL configs.csv,Channel Vanity URL 1 Name
