id,variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,data_type,path,list_path,subfield_path,column_name,var_type,name,duplicate_flag
kijkgeschiedenis:header,geschiedenis/kijkgeschiedenis.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",geschiedenis,,,,kijkgeschiedenis.json,header,,NO LIST,,MISSING,,MISSING,string,"('header',)",,"[""header""]",header,static,kijkgeschiedenis,No
kijkgeschiedenis:title,geschiedenis/kijkgeschiedenis.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",geschiedenis,,,,kijkgeschiedenis.json,title,,NO LIST,,MISSING,,MISSING,string,"('title',)",,"[""title""]",title,static,kijkgeschiedenis,No
kijkgeschiedenis:titleUrl,geschiedenis/kijkgeschiedenis.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",geschiedenis,,,,kijkgeschiedenis.json,titleUrl,,NO LIST,,MISSING,,MISSING,string,"('titleUrl',)",,"[""titleUrl""]",titleUrl,static,kijkgeschiedenis,No
kijkgeschiedenis:subtitles:name,geschiedenis/kijkgeschiedenis.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",geschiedenis,,,,kijkgeschiedenis.json,subtitles,name,LIST,,NO LIST,,MISSING,string,"('subtitles', 'name')","[""subtitles"", ""name""]","""name""",name,list,kijkgeschiedenis,No
kijkgeschiedenis:subtitles:url,geschiedenis/kijkgeschiedenis.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",geschiedenis,,,,kijkgeschiedenis.json,subtitles,url,LIST,,NO LIST,,MISSING,string,"('subtitles', 'url')","[""subtitles"", ""url""]","""url""",url,list,kijkgeschiedenis,No
kijkgeschiedenis:time,geschiedenis/kijkgeschiedenis.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",geschiedenis,,,,kijkgeschiedenis.json,time,,NO LIST,,MISSING,,MISSING,string,"('time',)",,"[""time""]",time,static,kijkgeschiedenis,No
kijkgeschiedenis:products,geschiedenis/kijkgeschiedenis.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",geschiedenis,,,,kijkgeschiedenis.json,products,,LIST,,MISSING,,MISSING,string,"('products',)","[""products""]","""products""",products,list,kijkgeschiedenis,No
kijkgeschiedenis:activityControls,geschiedenis/kijkgeschiedenis.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",geschiedenis,,,,kijkgeschiedenis.json,activityControls,,LIST,,MISSING,,MISSING,string,"('activityControls',)","[""activityControls""]","""activityControls""",activityControls,list,kijkgeschiedenis,No
zoekgeschiedenis:header,geschiedenis/zoekgeschiedenis.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",geschiedenis,,,,zoekgeschiedenis.json,header,,NO LIST,,MISSING,,MISSING,string,"('header',)",,"[""header""]",header,static,zoekgeschiedenis,No
zoekgeschiedenis:title,geschiedenis/zoekgeschiedenis.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",geschiedenis,,,,zoekgeschiedenis.json,title,,NO LIST,,MISSING,,MISSING,string,"('title',)",,"[""title""]",title,static,zoekgeschiedenis,No
