json_name,column_name,path,list_path,subfield_path,var_type,data_type,file_path
2023-12-15T00_57_28.538+01_00.json,color,['color'],,['color'],static,string,Takeout/Conservar/2023-12-15T00_57_28.538+01_00.json
2023-12-15T00_57_28.538+01_00.json,isTrashed,['isTrashed'],,['isTrashed'],static,boolean,Takeout/Conservar/2023-12-15T00_57_28.538+01_00.json
2023-12-15T00_57_28.538+01_00.json,isPinned,['isPinned'],,['isPinned'],static,boolean,Takeout/Conservar/2023-12-15T00_57_28.538+01_00.json
2023-12-15T00_57_28.538+01_00.json,isArchived,['isArchived'],,['isArchived'],static,boolean,Takeout/Conservar/2023-12-15T00_57_28.538+01_00.json
2023-12-15T00_57_28.538+01_00.json,textContent,['textContent'],,['textContent'],static,string,Takeout/Conservar/2023-12-15T00_57_28.538+01_00.json
2023-12-15T00_57_28.538+01_00.json,title,['title'],,['title'],static,string,Takeout/Conservar/2023-12-15T00_57_28.538+01_00.json
2023-12-15T00_57_28.538+01_00.json,userEditedTimestampUsec,['userEditedTimestampUsec'],,['userEditedTimestampUsec'],static,number,Takeout/Conservar/2023-12-15T00_57_28.538+01_00.json
2023-12-15T00_57_28.538+01_00.json,createdTimestampUsec,['createdTimestampUsec'],,['createdTimestampUsec'],static,number,Takeout/Conservar/2023-12-15T00_57_28.538+01_00.json
2023-12-15T00_57_28.538+01_00.json,textContentHtml,['textContentHtml'],,['textContentHtml'],static,string,Takeout/Conservar/2023-12-15T00_57_28.538+01_00.json
Nicesquest.json,color,['color'],,['color'],static,string,Takeout/Conservar/Nicesquest.json
Nicesquest.json,isTrashed,['isTrashed'],,['isTrashed'],static,boolean,Takeout/Conservar/Nicesquest.json
Nicesquest.json,isPinned,['isPinned'],,['isPinned'],static,boolean,Takeout/Conservar/Nicesquest.json
Nicesquest.json,isArchived,['isArchived'],,['isArchived'],static,boolean,Takeout/Conservar/Nicesquest.json
Nicesquest.json,textContent,['textContent'],,['textContent'],static,string,Takeout/Conservar/Nicesquest.json
Nicesquest.json,title,['title'],,['title'],static,string,Takeout/Conservar/Nicesquest.json
Nicesquest.json,userEditedTimestampUsec,['userEditedTimestampUsec'],,['userEditedTimestampUsec'],static,number,Takeout/Conservar/Nicesquest.json
Nicesquest.json,createdTimestampUsec,['createdTimestampUsec'],,['createdTimestampUsec'],static,number,Takeout/Conservar/Nicesquest.json
Nicesquest.json,textContentHtml,['textContentHtml'],,['textContentHtml'],static,string,Takeout/Conservar/Nicesquest.json
Contraseña correo normal.json,color,['color'],,['color'],static,string,Takeout/Conservar/Contraseña correo normal.json
Contraseña correo normal.json,isTrashed,['isTrashed'],,['isTrashed'],static,boolean,Takeout/Conservar/Contraseña correo normal.json
Contraseña correo normal.json,isPinned,['isPinned'],,['isPinned'],static,boolean,Takeout/Conservar/Contraseña correo normal.json
Contraseña correo normal.json,isArchived,['isArchived'],,['isArchived'],static,boolean,Takeout/Conservar/Contraseña correo normal.json
Contraseña correo normal.json,textContent,['textContent'],,['textContent'],static,string,Takeout/Conservar/Contraseña correo normal.json
Contraseña correo normal.json,title,['title'],,['title'],static,string,Takeout/Conservar/Contraseña correo normal.json
Contraseña correo normal.json,userEditedTimestampUsec,['userEditedTimestampUsec'],,['userEditedTimestampUsec'],static,number,Takeout/Conservar/Contraseña correo normal.json
Contraseña correo normal.json,createdTimestampUsec,['createdTimestampUsec'],,['createdTimestampUsec'],static,number,Takeout/Conservar/Contraseña correo normal.json
Contraseña correo normal.json,textContentHtml,['textContentHtml'],,['textContentHtml'],static,string,Takeout/Conservar/Contraseña correo normal.json
data.json,name,['name'],,['name'],static,string,Takeout/Perfil de Empresa en Google/account-109749812704533851188/data.json
data.json,accountName,['accountName'],,['accountName'],static,string,Takeout/Perfil de Empresa en Google/account-109749812704533851188/data.json
data.json,type,['type'],,['type'],static,string,Takeout/Perfil de Empresa en Google/account-109749812704533851188/data.json
Estadísticas y recomendaciones sobre el sueño.json,Sleep insights and recommendations,['Sleep insights and recommendations'],,['Sleep insights and recommendations'],static,array,Takeout/Fit/Estadísticas y recomendaciones sobre el sueño/Estadísticas y recomendaciones sobre el sueño.json
derived_com.google.active_minutes_com.google.a(1).json,Data Source,['Data Source'],,['Data Source'],static,string,Takeout/Fit/Todos los datos/derived_com.google.active_minutes_com.google.a(1).json
derived_com.google.active_minutes_com.google.a.json,Data Source,['Data Source'],,['Data Source'],static,string,Takeout/Fit/Todos los datos/derived_com.google.active_minutes_com.google.a.json
derived_com.google.distance.delta_com.google.a.json,Data Source,['Data Source'],,['Data Source'],static,string,Takeout/Fit/Todos los datos/derived_com.google.distance.delta_com.google.a.json
derived_com.google.calories.expended_com.googl.json,Data Source,['Data Source'],,['Data Source'],static,string,Takeout/Fit/Todos los datos/derived_com.google.calories.expended_com.googl.json
derived_com.google.calories.expended_com.googl.json,Data Points,['Data Points'],,['Data Points'],static,array,Takeout/Fit/Todos los datos/derived_com.google.calories.expended_com.googl.json
derived_com.google.distance.delta_com.google.a(1).json,Data Source,['Data Source'],,['Data Source'],static,string,Takeout/Fit/Todos los datos/derived_com.google.distance.delta_com.google.a(1).json
derived_com.google.heart_minutes_com.google.an.json,Data Source,['Data Source'],,['Data Source'],static,string,Takeout/Fit/Todos los datos/derived_com.google.heart_minutes_com.google.an.json
derived_com.google.speed_com.google.android.fi.json,Data Source,['Data Source'],,['Data Source'],static,string,Takeout/Fit/Todos los datos/derived_com.google.speed_com.google.android.fi.json
derived_com.google.heart_minutes_com.google.an(1).json,Data Source,['Data Source'],,['Data Source'],static,string,Takeout/Fit/Todos los datos/derived_com.google.heart_minutes_com.google.an(1).json
derived_com.google.step_count.delta_com.google.json,Data Source,['Data Source'],,['Data Source'],static,string,Takeout/Fit/Todos los datos/derived_com.google.step_count.delta_com.google.json
